CUST_NUM,CUST_STAT,CUST_BAL,INV_NO,INV_AMT,CRID,SSN,phone,Email
CUST74955,SUSPENDED,489650,INV965802,3903.92,RINI4A5L,689-18-4185,8861314113,4xyuun93@company.com
CUST14051,SUSPENDED,381457,INV352235,2737.02,HZSJGN4H,589-90-8786,9439092737,8cy86747@outlook.com
CUST67117,SUSPENDED,318100,INV114072,2266.49,1O71K7IM,193-14-3353,7722914824,hqqdj456@gmail.com
CUST66739,ACTIVE,331584,INV819204,1739.31,K82Y4S75,126-79-3928,9936128082,y62mjj18@yahoo.com
CUST52869,INACTIVE,471106,INV796294,4002.86,VOKPFXOX,503-70-3458,9296227004,y3uk5x21@outlook.com
CUST76112,SUSPENDED,44418,INV148259,4009.87,CR1BZRCO,628-49-3980,9172506008,jlpm1i73@outlook.com
CUST56670,ACTIVE,12537,INV489743,723.12,WMN8I7XA,643-54-4053,7361210575,znilbu50@yahoo.com
CUST37108,ACTIVE,393826,INV108193,694.67,PBCUBUTG,118-79-7540,7433987218,yvpx9k70@company.com
CUST33386,INACTIVE,1464,INV422455,1312.68,TLSSQFK6,816-31-7035,9380304162,edz20993@gmail.com
CUST39456,ACTIVE,223793,INV891238,1730.2,Q3ZTVWM4,511-76-9581,6774252992,nndt1j62@company.com
CUST10300,INACTIVE,306228,INV358319,1990.81,OS2T8BLR,365-10-7771,9800117176,zhciou77@gmail.com
CUST63074,SUSPENDED,76681,INV103845,2786.54,JTOSVGE0,735-26-9247,8585671453,42l6he41@outlook.com
CUST24424,ACTIVE,281225,INV724167,1053.79,S2XUE1VK,343-58-9383,7825243073,hyg3jq98@gmail.com
CUST26255,SUSPENDED,227164,INV136894,1405.51,3LBMODEM,839-65-3216,7098847896,uesywy45@gmail.com
CUST35462,INACTIVE,97179,INV777095,3795.08,RZCS5AUI,461-92-4315,9233701452,g08urt30@gmail.com
CUST11840,INACTIVE,410046,INV514190,268.63,6C5T80JV,118-24-7975,6795180204,ilj6bv58@gmail.com
CUST67348,SUSPENDED,90317,INV550603,2326.59,1NC48Q9Q,761-81-5261,8733466215,qevwg940@company.com
CUST40841,INACTIVE,252197,INV522404,1014.31,9075FPHJ,654-73-3056,7246946498,c8tyv180@outlook.com
CUST93954,ACTIVE,461988,INV658928,2322.7,2T7PNKAL,285-41-9044,7801031382,2344wg27@gmail.com
CUST33844,SUSPENDED,329833,INV771248,299.22,2GI7JRJM,506-81-2567,7326047732,ufji2419@company.com
CUST86883,SUSPENDED,319182,INV364736,3134.98,K4P84RI8,225-72-2133,6224692526,wlse1b41@company.com
CUST62566,SUSPENDED,74606,INV119324,1172.7,GOPPNRJE,522-44-2531,9725271003,817t5q51@company.com
CUST19785,ACTIVE,71247,INV936089,3790.7,Y6VZR69S,711-27-7278,7260202023,5u17sf43@company.com
CUST19952,SUSPENDED,402654,INV396695,2079.46,09PQ2JTD,719-53-8997,6956921746,icl1to85@company.com
CUST63970,ACTIVE,72819,INV144740,4093.02,WT89XAXY,879-83-3653,9526694588,bitxku27@gmail.com
CUST94579,SUSPENDED,377863,INV744133,4659.74,2PIY2Q57,378-80-9088,9996174807,cuq6jt64@gmail.com
CUST88715,ACTIVE,350857,INV572697,140.75,U2MVIQP2,627-49-1221,6912788861,ruyf6y26@gmail.com
CUST85004,INACTIVE,340698,INV512155,330.8,U31YMOMF,790-70-4019,6661376287,yv5e0z30@yahoo.com
CUST54753,ACTIVE,18547,INV992182,667.52,SE60F8NF,144-91-2291,7356302722,8giqzi15@yahoo.com
CUST43980,ACTIVE,319795,INV845948,726.07,B31R4ZW5,139-24-6018,7256949688,r5jv3772@company.com
CUST45129,ACTIVE,370821,INV485508,713.39,00NP868D,974-78-5500,7315995282,h0yft480@company.com
CUST81763,ACTIVE,314535,INV248564,4760.8,RXMGCPON,774-85-3079,9669390209,ajhrh224@yahoo.com
CUST58892,INACTIVE,240829,INV386514,1945.09,XZSFCI8O,364-87-7773,7824642508,jl17ln53@company.com
CUST99061,INACTIVE,293345,INV526562,3765.37,ISEWHYYR,791-56-7365,7939130055,5drqgr64@outlook.com
CUST89641,SUSPENDED,368852,INV482014,1095.08,4ME2LSSD,383-21-5804,6869585858,99vcmm65@outlook.com
CUST95401,INACTIVE,228356,INV297161,3746.85,446O9K6X,172-84-5407,6075557105,7vs2c960@gmail.com
CUST62276,ACTIVE,209628,INV191716,249.14,IMOPYC0K,420-69-7191,9887041365,5na5xt59@outlook.com
CUST10029,ACTIVE,388692,INV293368,1369.53,ZAQB96OM,771-61-1439,6468262160,u1e2md17@company.com
CUST80549,INACTIVE,486693,INV935625,2800.54,VMZE6Y2D,492-53-8095,7467966701,ofrcg315@yahoo.com
CUST67063,ACTIVE,211075,INV911219,653.24,BL2I1LC0,753-31-3112,8856410258,13vhiv75@company.com
CUST98863,SUSPENDED,154429,INV699914,4262.95,EM26Z8CW,371-34-3629,6569364110,43f0gx90@outlook.com
CUST47965,INACTIVE,307700,INV836313,2528.58,M1J0KAI6,321-82-9052,8857175933,6zwp0t97@gmail.com
CUST23520,INACTIVE,487511,INV459179,4195.02,84H50TT2,366-13-9751,6502433619,oqwmv146@outlook.com
CUST66782,SUSPENDED,407271,INV868869,1848.59,CNZZ9O3J,432-91-3208,7026444803,fj9c8768@outlook.com
CUST54546,INACTIVE,158601,INV599386,4279.88,OVVSZY2X,299-78-4487,8705018026,svsf3115@outlook.com
CUST79003,SUSPENDED,454068,INV586247,3721.3,57LYS0XG,511-49-9921,7550583358,pb3o9v10@outlook.com
CUST47089,SUSPENDED,269983,INV362887,2816.14,9V8WZMRL,610-33-6701,9784893944,67a1nx93@gmail.com
CUST45893,INACTIVE,307738,INV443782,2538.84,1Y78QFL6,542-51-3529,7208219858,xoe0jm55@yahoo.com
CUST52013,SUSPENDED,187952,INV739664,524.36,T3403FEM,620-24-2985,7772475905,3t8gos33@yahoo.com
CUST92479,INACTIVE,65330,INV936177,3901.37,8M1YK0D7,744-30-3857,8153821383,luqvt178@outlook.com
CUST21992,ACTIVE,257097,INV931604,2195.9,855GDV9S,632-98-7008,7133669536,49lk3127@company.com
CUST18750,SUSPENDED,133104,INV581004,3766.25,1917ZNQQ,473-89-2946,7944921242,nkel3h84@gmail.com
CUST54636,SUSPENDED,119134,INV770234,2148.4,UIM804Z3,651-57-3078,7234491892,dnjlab44@gmail.com
CUST25547,ACTIVE,351649,INV443184,2247.04,RX26ZFAA,526-74-4747,6558013698,u13s5v10@outlook.com
CUST22175,ACTIVE,76822,INV769732,1602.49,YTQKBHGJ,479-55-6917,9817110412,yyzj4j40@gmail.com
CUST89149,INACTIVE,443324,INV474810,4988.85,Z2XUKV8E,712-19-2431,8422137293,5zuwxw48@gmail.com
CUST94146,SUSPENDED,311064,INV281118,2778.22,BGO6OHPH,554-11-9230,6870976260,us7ue113@company.com
CUST62954,SUSPENDED,186903,INV849172,2167.66,K38023XB,279-25-5808,9097503072,7qa9og39@company.com
CUST38862,ACTIVE,151699,INV555518,4053.56,B7OSKSWC,594-95-9999,7555238332,9e6cbg87@gmail.com
CUST66675,ACTIVE,266987,INV785832,2003.61,8EQ66GHP,819-71-2431,6574564819,euxg4k46@gmail.com
CUST47883,SUSPENDED,463901,INV120508,1302.06,UL54730S,455-90-3738,9930536241,g52lna10@yahoo.com
CUST14093,INACTIVE,17320,INV504885,4499.67,CSPUYCCD,314-96-5195,9577525798,9gz9c122@gmail.com
CUST87648,SUSPENDED,64636,INV973843,4586.9,IC6NEBOP,193-22-1239,7151044634,99ee5063@outlook.com
CUST96712,ACTIVE,462864,INV831797,903.42,2NT80G7P,997-11-2178,9209015171,ubdw2478@yahoo.com
CUST93753,SUSPENDED,118461,INV226607,3039.42,405RQTDQ,391-51-1867,7170507025,6iln8079@company.com
CUST68657,ACTIVE,349472,INV363552,1461.76,VYESTZ2Q,854-48-4170,9898963423,62oufz28@yahoo.com
CUST40264,SUSPENDED,89656,INV864819,1682.87,SCEKKQAQ,217-35-6958,7682840963,zknv7913@outlook.com
CUST17693,SUSPENDED,228629,INV776267,1758.07,ODFTZSQA,891-41-1787,7241061946,5rqgw742@gmail.com
CUST34257,SUSPENDED,372481,INV805065,1185.51,BH7IYNV7,166-16-7229,7063964117,5mk31949@gmail.com
CUST11159,ACTIVE,335129,INV325277,3466.18,61LZKO9V,969-39-8201,8985520145,jnd64v56@gmail.com
CUST32455,ACTIVE,293205,INV505855,3182.81,J30XX6WR,773-67-9304,8618864883,xfs86571@company.com
CUST76354,SUSPENDED,121347,INV191926,2481.19,K7KUECMB,471-94-5693,6058630721,91nj0w82@yahoo.com
CUST80251,INACTIVE,460284,INV610954,1680.14,4VEAIK71,960-29-3059,6507386402,olwlna61@yahoo.com
CUST76039,ACTIVE,55020,INV113969,4858.5,ATF8NVRG,273-13-8350,6968699035,qynh5j80@outlook.com
CUST56145,INACTIVE,355334,INV359035,1203.03,PLESSTBY,903-23-4444,9334806653,lf9ql439@company.com
CUST75205,INACTIVE,6394,INV275588,2032.82,QM6YINVY,919-87-7681,7651245448,okpp7453@outlook.com
CUST19847,SUSPENDED,121233,INV427232,3830.74,4U4D8MVE,602-59-4146,8424598837,qg3u6e86@outlook.com
CUST73917,SUSPENDED,269318,INV134065,1422.66,TN03HIIJ,258-76-6148,7770688947,zyizic73@gmail.com
CUST10253,INACTIVE,376399,INV256226,120.58,4HKKYM0M,740-20-7395,8298269865,rkbb3x91@outlook.com
CUST99845,SUSPENDED,376513,INV771957,4839.1,9K918H9C,102-81-8692,6686986865,n3h2x120@gmail.com
CUST34767,SUSPENDED,284553,INV414728,1817.72,RPYWI7LV,946-67-3668,8695785424,zepdpy10@outlook.com
CUST46676,ACTIVE,482024,INV783820,3405.67,V14PUJX8,767-19-5890,8771337099,yg0ui542@gmail.com
CUST26586,ACTIVE,15992,INV111963,3820.79,V96ADQKM,764-64-7171,6367880104,67zh8j67@company.com
CUST70373,SUSPENDED,13479,INV213123,1520.34,H3OU3VIH,200-71-5020,6338185571,7w2ygp59@yahoo.com
CUST76977,INACTIVE,299606,INV393468,2991.73,BWUK0D2D,516-73-3807,8094371170,8yy3zz16@gmail.com
CUST33423,ACTIVE,135563,INV699746,354.06,991WUT6O,254-60-1984,9464118556,w2ftm915@company.com
CUST15085,INACTIVE,448070,INV870576,153.45,ZU724WAB,653-10-7954,6552897077,e9n80e99@company.com
CUST56128,ACTIVE,448919,INV969292,4943.91,5HVHKWS7,460-81-9263,9699787331,fyrnfn71@yahoo.com
CUST47427,SUSPENDED,398279,INV827293,2009.75,NC41BIMT,794-68-1994,8688152393,wvhv5h25@company.com
CUST14355,INACTIVE,483352,INV336570,4116.27,TPNZ9LK2,465-97-4642,7086803216,hq144z17@outlook.com
CUST21770,INACTIVE,79184,INV397517,1971.48,IF5YOGVQ,253-55-3924,7014385808,unfocd58@outlook.com
CUST29588,SUSPENDED,68323,INV861111,1260.98,PTRKYIGZ,548-17-7537,7170335213,5i4v4g71@yahoo.com
CUST92408,SUSPENDED,443980,INV608742,93.4,IP7V44SO,536-10-1936,6274294739,n99vi866@outlook.com
CUST93415,INACTIVE,288614,INV927850,485.46,MFN5RZ5N,771-97-4249,6669040243,x0b58870@yahoo.com
CUST85240,SUSPENDED,6740,INV337958,3557.84,G08IRMXY,843-58-2050,6068799060,dnaxtv52@yahoo.com
CUST68912,ACTIVE,456140,INV280842,3026.97,0V7N5VTE,512-81-8974,9349994065,qwvuca13@yahoo.com
CUST25147,INACTIVE,301251,INV216003,214.02,O2TY62VD,665-70-7056,7516433474,fbwvyt58@company.com
CUST82706,INACTIVE,99862,INV354396,4479.97,4BS03CQN,882-20-6351,7433798866,l0kmab75@yahoo.com
CUST18233,SUSPENDED,167040,INV226406,4354.16,L03AZBLI,319-74-8751,9644981550,i1s79v33@company.com
CUST90604,INACTIVE,399356,INV272354,3764.31,UYURXRS7,292-10-6392,9403904246,2zpxk685@gmail.com
CUST93837,ACTIVE,200362,INV404612,2840.41,F0IHP0R6,133-13-8061,7622220818,oehy6325@outlook.com
CUST17805,SUSPENDED,34464,INV632699,2883.88,FHD0MCH1,710-17-1841,6899324726,nwq5el26@outlook.com
CUST58457,ACTIVE,342523,INV396739,1168.03,W5RM2WAV,665-55-1141,6370171857,h54p2r19@outlook.com
CUST82568,SUSPENDED,429188,INV572152,4486.06,2OLG2MZE,657-46-1592,8954315030,vdfuzo33@outlook.com
CUST92096,INACTIVE,492806,INV804444,4124.31,6JUSHIIM,592-28-5889,7045658468,4mf3sr75@company.com
CUST31472,SUSPENDED,290299,INV825590,2503.43,9HWYOPGC,997-11-1492,7893418494,oznsk123@outlook.com
CUST79845,INACTIVE,393015,INV180460,3491.83,IVFRIXY0,259-87-4981,7562651763,cdz6eh26@company.com
CUST24208,INACTIVE,420848,INV772865,4649.9,LVXC3IFA,583-44-3368,9281869852,3j246p13@gmail.com
CUST93662,INACTIVE,377392,INV265482,1800.25,JZAC57AG,231-79-1555,8974887425,fe4vm753@yahoo.com
CUST15424,ACTIVE,128597,INV879335,95.12,6SNLJBZX,699-11-6761,8992645545,vna2jj68@outlook.com
CUST19196,ACTIVE,391956,INV984082,389.51,JKXPOAN6,371-64-7746,9982228484,nypler10@yahoo.com
CUST25894,SUSPENDED,492698,INV847933,3644.87,6EZF07QM,874-32-1816,8650726857,fe49w951@outlook.com
CUST26103,INACTIVE,235614,INV461264,2263.11,C08P18L8,472-85-6502,6632204504,gtxecy17@company.com
CUST78983,SUSPENDED,80470,INV525572,4014.62,0QDNQRGS,777-24-5685,8240222294,o5bmcj86@yahoo.com
CUST97220,INACTIVE,26390,INV989508,112.54,KRA4XZ2A,609-94-6005,8971632549,jf8y1q46@outlook.com
CUST56032,SUSPENDED,204460,INV824740,4487.42,2NOBGXQV,745-17-8634,7807580477,vaceka21@outlook.com
CUST72424,SUSPENDED,108616,INV131217,4844.78,0OL41WQU,164-89-2557,9481201587,jpdc3i89@outlook.com
CUST61543,ACTIVE,113426,INV227094,2589.37,8GWRSDP2,215-52-4265,6471489165,h4akfw77@company.com
CUST88034,SUSPENDED,418721,INV396875,4616.05,9GI8Q8YO,139-21-6288,9748057136,bhkxkj81@company.com
CUST92022,INACTIVE,324917,INV229994,1126.63,DUSGZ6Q6,212-31-9316,6953840642,amfyol22@yahoo.com
CUST11507,ACTIVE,346163,INV505604,3407.5,XSGALUG5,273-80-6678,9684004658,g1cj4d81@gmail.com
CUST38953,ACTIVE,233879,INV866512,4319.3,ZBQZ0ONO,774-12-3992,6565202757,08xd6z46@outlook.com
CUST42836,INACTIVE,261331,INV143970,3433.72,CKYNTF2F,699-51-5046,8704119163,ppb0wt11@gmail.com
CUST62255,ACTIVE,317155,INV350296,2208.62,X41VLIR1,890-32-5745,7999821859,dme2l828@gmail.com
CUST15747,INACTIVE,113661,INV397800,1836.02,I4FOIVN8,463-13-5082,8045975156,scsrn287@company.com
CUST13903,SUSPENDED,200660,INV879836,4572.5,BCGQPT8A,667-42-1597,8376681878,dqn99379@outlook.com
CUST32293,ACTIVE,42228,INV382301,1232.18,AGI0N7IF,211-51-2308,8088286365,7rhrss86@gmail.com
CUST68932,SUSPENDED,64896,INV845641,92.42,YTU0W69C,375-91-3477,6431279642,j0cafs55@outlook.com
CUST18643,SUSPENDED,439274,INV745432,4729.53,41YE8R8A,999-51-6011,8963687901,loh17c93@yahoo.com
CUST12923,SUSPENDED,237313,INV244727,4366.55,N0Q28F1D,824-43-3699,6611414056,dna58u32@gmail.com
CUST71649,INACTIVE,327,INV251123,4370.05,MKV9WCH9,453-21-6361,9127383651,7njsgv80@outlook.com
CUST45290,INACTIVE,272401,INV404550,333.43,AAGJZ30R,275-51-2316,7435988107,01sfr343@gmail.com
CUST68651,SUSPENDED,91568,INV711542,2101.24,GE66D8T0,246-37-9823,6230817348,o0yfz193@company.com
CUST88760,INACTIVE,351370,INV406461,4882.99,1NAWQT57,480-54-3271,6303488509,dscxfy17@yahoo.com
CUST84196,ACTIVE,93673,INV292718,544.2,E6E3WE68,902-96-5854,7460597596,soq3pl93@outlook.com
CUST35802,ACTIVE,344256,INV969296,3475.52,OTHGSDNI,173-78-6233,6774450687,u4jjh345@gmail.com
CUST41588,SUSPENDED,114048,INV270157,231.4,7YN3LU0C,273-62-8235,8023443627,ptk9hw30@company.com
CUST26663,SUSPENDED,232702,INV716483,349.82,2DBWBC97,986-14-5521,6262647881,571nji19@yahoo.com
CUST40182,INACTIVE,198304,INV340618,2398.18,RIH4C7R9,351-30-4802,9374063233,9jahdq71@yahoo.com
CUST69842,ACTIVE,167426,INV274149,2404.01,YYGPA0VA,682-62-6320,7497434878,8okxhm76@gmail.com
CUST15850,INACTIVE,19443,INV915810,4155.74,JMEA2ELN,898-31-4769,6858858020,0yuc2m26@yahoo.com
CUST25954,INACTIVE,162138,INV812934,1734.83,9GLPNG1I,444-62-6148,8726795712,7zw3ye36@gmail.com
CUST78501,ACTIVE,455590,INV150146,3070.8,XL9PJ7QL,984-17-4183,8987496562,flm4wd88@yahoo.com
CUST92924,SUSPENDED,63950,INV362670,697.24,AQXDD334,524-54-9024,9275564294,s6ukbi10@gmail.com
CUST17130,INACTIVE,229316,INV444081,887.92,19GDDV2W,925-92-3196,9681687138,pg1xf276@yahoo.com
CUST33372,SUSPENDED,257371,INV873927,3733.9,LEWCDCAI,911-58-1740,6785606337,o4xk7a74@gmail.com
CUST66872,SUSPENDED,353214,INV972437,1214.52,72XLU1ND,507-52-4237,8366599163,d56gof26@outlook.com
CUST93187,SUSPENDED,269912,INV692993,2431.86,UU9861ZM,960-53-3663,7348971615,y3f33r76@gmail.com
CUST86047,INACTIVE,158034,INV750656,1960.09,NYHNV7FH,299-30-4981,8390355544,abw9pt19@gmail.com
CUST17527,ACTIVE,222391,INV973207,1556.33,SROSVXSP,397-43-6824,8239694385,tdc81z34@yahoo.com
CUST52889,INACTIVE,161200,INV362240,2872.14,SDOKQW8J,444-45-9744,8420407013,0wou5z69@yahoo.com
CUST86077,ACTIVE,79580,INV168438,3737.32,3MFYB8UF,311-70-3533,7172846436,r7ns4261@gmail.com
CUST14487,ACTIVE,394928,INV199969,1325.7,CJ3QW7KC,815-54-1240,7117443734,9b3nsu41@gmail.com
CUST65768,SUSPENDED,203956,INV933656,4645.51,RF0CYK2V,919-39-7316,9784946827,1zrvtz60@outlook.com
CUST16594,ACTIVE,335438,INV832796,569.44,NTFMYTGZ,730-20-9894,8553242593,imtlg951@yahoo.com
CUST30384,ACTIVE,202888,INV198209,3023.5,SZA4OKCX,291-58-2016,7638870652,j4silh49@yahoo.com
CUST74069,INACTIVE,16005,INV171230,4211.26,T170V2Q3,887-50-4897,6519373824,zl43mh94@company.com
CUST23484,SUSPENDED,334627,INV408200,1828.61,777JGBRY,992-32-3491,6099882960,98h4sd61@yahoo.com
CUST73315,ACTIVE,248922,INV667472,2847.6,3ALS8H1D,400-53-1196,7063906661,mv27e846@outlook.com
CUST11608,ACTIVE,305601,INV535107,4203.31,OK05ZEBI,253-69-8706,7269523205,43q9c342@company.com
CUST78919,INACTIVE,304583,INV641746,923.56,U3MQC9YE,517-70-6015,6665222620,e3hqdk52@outlook.com
CUST90477,ACTIVE,96880,INV131847,4329.94,F4ZZBG93,191-32-5229,8290327233,vpxz8w24@company.com
CUST83593,SUSPENDED,75330,INV864063,4083.0,6XXNAVT1,739-50-9714,6916837351,26l4ma63@outlook.com
CUST40991,SUSPENDED,497427,INV378246,3237.99,MGW7B7BV,269-56-9221,6434927595,vr4b1358@gmail.com
CUST71657,INACTIVE,374787,INV403669,2716.24,Z0POBZJT,732-58-6862,6190468512,e5bd0057@gmail.com
CUST23912,INACTIVE,428047,INV217802,3585.2,MNW850QV,695-31-6339,6652225685,8rs9t786@yahoo.com
CUST53339,SUSPENDED,255222,INV735755,2020.23,L5FT96XE,509-30-1233,7613867271,z2fypp15@company.com
CUST95306,SUSPENDED,304066,INV429909,362.88,T42NCM65,997-82-1405,6852918494,hrqzr494@yahoo.com
CUST52835,ACTIVE,470914,INV354466,104.54,HU70GZVJ,811-70-3966,8205732026,uv4yl730@outlook.com
CUST16240,ACTIVE,54275,INV348520,4817.1,9P7MLHQK,251-24-8440,9622533089,qxf86u74@yahoo.com
CUST21965,INACTIVE,358674,INV622040,4826.36,QY9CX0L7,181-56-3267,9696896691,0jjtu316@gmail.com
CUST30965,SUSPENDED,166864,INV612089,3238.2,F21P2MBU,182-17-2358,8793856600,xvdrgd20@gmail.com
CUST11020,SUSPENDED,469360,INV621592,409.21,4QCML9TA,395-71-1271,9544467255,jjfido74@company.com
CUST95144,SUSPENDED,274023,INV460474,2993.65,G0Y2PB00,659-78-9179,7133397078,z5ilaa72@yahoo.com
CUST82968,SUSPENDED,304458,INV596561,3198.21,PRHC9A1R,302-53-8542,8476254767,hfljag52@company.com
CUST47940,ACTIVE,306791,INV314814,233.05,ONBIIWER,964-44-8619,7428676319,gvirpb61@gmail.com
CUST56427,ACTIVE,71767,INV807079,3806.77,GBSU704B,236-67-7916,7489748125,gzvunb54@yahoo.com
CUST97506,INACTIVE,315247,INV902875,2076.43,0ZUZEB5S,189-37-7548,7090891164,s2f4v585@gmail.com
CUST40423,INACTIVE,460232,INV590705,1672.29,BPC003UZ,320-99-2421,8499203504,41rxc447@outlook.com
CUST76275,SUSPENDED,270376,INV893295,928.08,0US7S476,807-68-3532,8046149274,qwwmt474@yahoo.com
CUST74393,INACTIVE,451556,INV572656,1315.4,BJAGU4DG,225-50-6442,9095047074,7y3u4670@company.com
CUST72900,INACTIVE,194511,INV484957,2503.82,JKE4GXN7,423-78-3111,9708255257,q8dju428@yahoo.com
CUST36966,ACTIVE,154384,INV343961,68.27,MK5X7LSF,690-63-3887,7851362784,yv646458@outlook.com
CUST57472,INACTIVE,101402,INV932392,3565.85,3292EEV2,389-80-2891,6593416174,2i4zi118@outlook.com
CUST92178,SUSPENDED,160388,INV860593,2503.49,F0VP5LRG,493-49-6245,8113026952,555uz887@yahoo.com
CUST92570,SUSPENDED,14382,INV433339,594.77,J2CUNVF1,483-93-5240,7110481355,47vk9a77@yahoo.com
CUST30698,SUSPENDED,232736,INV922386,3359.24,CUQ4SJSL,822-87-1037,8691269754,slp7wb80@outlook.com
CUST83416,SUSPENDED,11536,INV618039,889.04,279N1QUP,892-58-3639,8489465495,lb5sif82@yahoo.com
CUST48569,INACTIVE,401124,INV620059,1589.95,47T55EN4,159-80-5519,8648996736,4yzvdv95@outlook.com
CUST25672,INACTIVE,360849,INV695122,953.99,TMGT5RAG,490-77-8412,8348158380,s7b58m53@company.com
CUST95577,ACTIVE,399552,INV513605,4291.59,13UPTNUL,969-12-8543,7890677864,jvq96g58@yahoo.com
CUST88954,ACTIVE,370871,INV222061,4960.69,1PP6HVWR,143-91-7732,8808649936,qoc9lm38@gmail.com
CUST12506,ACTIVE,63417,INV367098,2190.11,372KSCO9,545-68-3240,6274552504,ahjson42@gmail.com
CUST66255,SUSPENDED,498992,INV374925,794.88,J5FXPCJN,526-54-9664,8117706258,0l7ecz66@gmail.com
CUST80839,INACTIVE,398894,INV314327,490.78,13I5KO00,198-37-3799,7395536460,n3fyr084@yahoo.com
CUST56418,SUSPENDED,184451,INV924939,2018.63,6CII9G7C,441-85-3324,7918598643,l5izpd99@outlook.com
CUST27291,SUSPENDED,427724,INV802993,4104.54,DTCC93F2,599-57-8796,6428684719,7if8rn36@yahoo.com
CUST97932,SUSPENDED,117173,INV207330,3364.26,3KQUJ2YJ,538-47-8299,9351014288,uhp7ep30@gmail.com
CUST88398,ACTIVE,190848,INV857554,3754.76,RPL8F4MX,621-87-6044,9608271411,y88x1g90@company.com
CUST16688,SUSPENDED,302231,INV831817,3202.14,2N2N2LXZ,654-20-2265,8582312325,gb7do729@outlook.com
CUST35364,SUSPENDED,115757,INV916065,3248.18,REPJ330J,228-99-6636,6784074948,ivxygz47@company.com
CUST71103,SUSPENDED,220877,INV973843,1016.13,25ATSQNK,470-34-8349,6775472438,88xj1a91@outlook.com
CUST36142,SUSPENDED,398738,INV783551,4398.13,2IWSFS0C,995-60-2041,6848723328,99mlg186@outlook.com
CUST72840,SUSPENDED,337154,INV691710,4378.36,17GLY04C,545-80-1615,7216108365,ze91zi40@outlook.com
CUST97539,INACTIVE,99361,INV988249,943.45,XRSZDGNC,376-19-6379,6295516892,f1i0sm25@gmail.com
CUST27040,ACTIVE,50595,INV522189,533.25,SVLBFACE,447-42-3362,7941872168,qmw93v33@outlook.com
CUST40815,ACTIVE,248736,INV882594,318.53,GUMI88QW,974-16-3392,7555851013,crbn2m28@outlook.com
CUST60261,INACTIVE,398850,INV444631,3878.65,XKJTVULG,273-68-5370,7854338921,hrdorz82@company.com
CUST40640,INACTIVE,480167,INV944932,2097.09,3BX3WIVG,500-25-3033,8147168813,9b2sh859@company.com
CUST65511,ACTIVE,66428,INV964749,1217.08,ESZ2GML6,910-14-3045,7880326055,k0ugfh43@yahoo.com
CUST86229,ACTIVE,72409,INV360180,4963.99,BH1F38JQ,474-48-5268,7206456779,f64zhx48@yahoo.com
CUST50519,INACTIVE,28029,INV699149,3367.0,I4O184HG,932-12-7836,8785987371,08q3bx62@company.com
CUST44961,SUSPENDED,42097,INV100041,2747.13,J1D2U4CC,135-73-1029,8088275301,f8dq0b86@gmail.com
CUST60289,SUSPENDED,223678,INV642273,1529.78,G0DOG8SE,985-91-1624,7590123582,3nh0cw97@yahoo.com
CUST75235,INACTIVE,296522,INV797327,3064.92,H8RQUON7,309-80-9986,7946185806,127jt291@yahoo.com
CUST49258,ACTIVE,264729,INV970619,2904.89,ULR1BS61,734-87-9481,8578219767,6jq43567@outlook.com
