trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
3619786,2700,2016-12-31,Credit,Interest Credit,112,34924.3,Interest Credited,,
3617129,2620,2016-12-31,Credit,Interest Credit,139,30641.2,Interest Credited,,
3618217,2651,2016-12-31,Credit,Interest Credit,198,29697.2,Interest Credited,,
3617258,2623,2016-12-31,Credit,Interest Credit,90,25130.3,Interest Credited,,
3617964,2645,2016-12-31,Credit,Interest Credit,134,33241.2,Interest Credited,,
3619308,2687,2016-12-31,Credit,Interest Credit,109,25599.2,Interest Credited,,
3617778,2641,2016-12-31,Credit,Interest Credit,232,45904,Interest Credited,,
3618115,2649,2016-12-31,Credit,Interest Credit,170,43046.8,Interest Credited,,
3619616,2695,2016-12-31,Credit,Interest Credit,164,43657.6,Interest Credited,,
3617683,2639,2016-12-31,Credit,Interest Credit,203,46903.7,Interest Credited,,
3620924,2736,2016-12-31,Credit,Interest Credit,143,32366,Interest Credited,,
3620718,2732,2016-12-31,Credit,Interest Credit,208,65027.1,Interest Credited,,
3620164,2712,2016-12-31,Credit,Interest Credit,132,31071.8,Interest Credited,,
3617501,2632,2016-12-31,Credit,Interest Credit,190,38726.9,Interest Credited,,
3621015,2738,2016-12-31,Credit,Interest Credit,65,24159.8,Interest Credited,,
3618828,2670,2016-12-31,Credit,Interest Credit,229,44670.3,Interest Credited,,
3618648,2666,2016-12-31,Credit,Interest Credit,78,18796.6,Interest Credited,,
3677033,6555,2016-12-31,Credit,Interest Credit,196,47558,Interest Credited,,
3682689,9337,2016-12-31,Credit,Interest Credit,235,54472.3,Interest Credited,,
3678934,6930,2016-12-31,Credit,Interest Credit,309,80155.2,Interest Credited,,
3673861,5991,2016-12-31,Credit,Interest Credit,37,25109.1,Interest Credited,,
3680374,7133,2016-12-31,Credit,Interest Credit,108,29137.4,Interest Credited,,
3680263,7123,2016-12-31,Credit,Interest Credit,293,71529.1,Interest Credited,,
3673983,6030,2016-12-31,Credit,Interest Credit,174,46537.4,Interest Credited,,
3680727,7190,2016-12-31,Credit,Interest Credit,156,39041.8,Interest Credited,,
3673672,5952,2016-12-31,Credit,Interest Credit,416,107784.1,Interest Credited,,
3673350,5891,2016-12-31,Credit,Interest Credit,233,52144.5,Interest Credited,,
3682264,5927,2016-12-31,Credit,Interest Credit,17,20772.7,Interest Credited,,
3675346,6273,2016-12-31,Credit,Interest Credit,143,28360.5,Interest Credited,,
3675975,6363,2016-12-31,Credit,Interest Credit,182,40113.9,Interest Credited,,
3677732,6701,2016-12-31,Credit,Interest Credit,98,18214.6,Interest Credited,,
3675835,6353,2016-12-31,Credit,Interest Credit,24,30158.8,Interest Credited,,
3676277,6425,2016-12-31,Credit,Interest Credit,120,24065.2,Interest Credited,,
3674051,6040,2016-12-31,Credit,Interest Credit,192,42669.1,Interest Credited,,
3675091,6226,2016-12-31,Credit,Interest Credit,259,45248.4,Interest Credited,,
3682923,10451,2016-12-31,Credit,Interest Credit,155,42062.5,Interest Credited,,
2355675,7769,2016-12-31,Withdrawal,Withdrawal in cash,15,56790.4,Payment on Statement,,
2350018,7753,2016-12-31,Withdrawal,Withdrawal in cash,15,64668.1,Payment on Statement,,
2357076,7774,2016-12-31,Withdrawal,Withdrawal in cash,100,82745.5,Payment on Statement,,
2707557,8957,2016-12-31,Withdrawal,Withdrawal in cash,15,66869,Payment on Statement,,
2715896,8982,2016-12-31,Withdrawal,Withdrawal in cash,15,42612.1,Payment on Statement,,
2699947,8934,2016-12-31,Withdrawal,Withdrawal in cash,15,52874.7,Payment on Statement,,
2730962,9034,2016-12-31,Withdrawal,Withdrawal in cash,15,30371.9,Payment on Statement,,
2733213,9041,2016-12-31,Withdrawal,Withdrawal in cash,15,44361.2,Payment on Statement,,
2733280,9041,2016-12-31,Withdrawal,Withdrawal in cash,8500,35861.2,,,
3439787,956,2016-12-31,Credit,Interest Credit,4,1503.6,Interest Credited,,
3439690,942,2016-12-31,Credit,Interest Credit,103,25361.5,Interest Credited,,
3438034,540,2016-12-31,Credit,Interest Credit,157,58054.8,Interest Credited,,
3438784,699,2016-12-31,Credit,Interest Credit,199,28368.9,Interest Credited,,
3437706,433,2016-12-31,Credit,Interest Credit,274,44645,Interest Credited,,
3438587,604,2016-12-31,Credit,Interest Credit,17,21135,Interest Credited,,
3439049,730,2016-12-31,Credit,Interest Credit,210,39577.2,Interest Credited,,
3437492,419,2016-12-31,Credit,Interest Credit,66,23078.4,Interest Credited,,
3438363,574,2016-12-31,Credit,Interest Credit,285,48068.4,Interest Credited,,
3437907,523,2016-12-31,Credit,Interest Credit,183,34449.2,Interest Credited,,
3437357,381,2016-12-31,Credit,Interest Credit,172,39994.2,Interest Credited,,
3437430,391,2016-12-31,Credit,Interest Credit,5,2505.3,Interest Credited,,
3437644,432,2016-12-31,Credit,Interest Credit,127,28752.8,Interest Credited,,
3438102,551,2016-12-31,Credit,Interest Credit,89,20121.6,Interest Credited,,
3438678,624,2016-12-31,Credit,Interest Credit,158,29725.1,Interest Credited,,
3438851,701,2016-12-31,Credit,Interest Credit,86,19461.8,Interest Credited,,
3438268,562,2016-12-31,Credit,Interest Credit,133,32167.2,Interest Credited,,
3439366,774,2016-12-31,Credit,Interest Credit,214,40423.3,Interest Credited,,
3581153,1544,2016-12-31,Credit,Interest Credit,176,38231.1,Interest Credited,,
3580845,1534,2016-12-31,Credit,Interest Credit,159,36721.6,Interest Credited,,
3579146,1481,2016-12-31,Credit,Interest Credit,69,16252.2,Interest Credited,,
3579789,1499,2016-12-31,Credit,Interest Credit,10,18560,Interest Credited,,
3579616,1495,2016-12-31,Credit,Interest Credit,240,63526.4,Interest Credited,,
3580325,1515,2016-12-31,Credit,Interest Credit,204,48090.2,Interest Credited,,
3580001,1507,2016-12-31,Credit,Interest Credit,263,58315.9,Interest Credited,,
3578982,1477,2016-12-31,Credit,Interest Credit,85,20605,Interest Credited,,
3579391,1487,2016-12-31,Credit,Interest Credit,18,14389.5,Interest Credited,,
3579554,1493,2016-12-31,Credit,Interest Credit,103,25149,Interest Credited,,
3579292,1485,2016-12-31,Credit,Interest Credit,288,73231.2,Interest Credited,,
3580985,1536,2016-12-31,Credit,Interest Credit,198,46493.7,Interest Credited,,
3579728,1497,2016-12-31,Credit,Interest Credit,123,27016.3,Interest Credited,,
3581840,1566,2016-12-31,Credit,Interest Credit,203,52893.1,Interest Credited,,
3582084,1575,2016-12-31,Credit,Interest Credit,105,25935.8,Interest Credited,,
3580241,1513,2016-12-31,Credit,Interest Credit,160,41134.4,Interest Credited,,
3580914,1535,2016-12-31,Credit,Interest Credit,104,23020.3,Interest Credited,,
3578911,1476,2016-12-31,Credit,Interest Credit,110,20680,Interest Credited,,
3581221,1545,2016-12-31,Credit,Interest Credit,102,21193.3,Interest Credited,,
3581774,1565,2016-12-31,Credit,Interest Credit,74,23380.2,Interest Credited,,
919324,3133,2016-12-31,Withdrawal,Withdrawal in cash,15,58102.8,Payment on Statement,,
963787,3284,2016-12-31,Withdrawal,Withdrawal in cash,15,26857.3,Payment on Statement,,
963386,3283,2016-12-31,Withdrawal,Withdrawal in cash,15,35471.1,Payment on Statement,,
964687,3287,2016-12-31,Withdrawal,Withdrawal in cash,15,51874.4,Payment on Statement,,
961879,3277,2016-12-31,Withdrawal,Withdrawal in cash,15,59944.2,Payment on Statement,,
1068089,3649,2016-12-31,Withdrawal,Withdrawal in cash,15,45698.2,Payment on Statement,,
1066491,3644,2016-12-31,Withdrawal,Withdrawal in cash,15,21043.2,Payment on Statement,,
1779315,6034,2016-12-31,Withdrawal,Withdrawal in cash,30,78906,Payment on Statement,,
1736890,5891,2016-12-31,Withdrawal,Withdrawal in cash,15,52129.9,Payment on Statement,,
1730681,5868,2016-12-31,Withdrawal,Withdrawal in cash,15,24331.7,Payment on Statement,,
44448,148,2016-12-31,Withdrawal,Withdrawal in cash,15,18264.4,Payment on Statement,,
48961,163,2016-12-31,Withdrawal,Withdrawal in cash,15,30121.1,Payment on Statement,,
49478,165,2016-12-31,Withdrawal,Withdrawal in cash,15,29079.1,Payment on Statement,,
50281,168,2016-12-31,Withdrawal,Withdrawal in cash,15,15027.8,Payment on Statement,,
23760,78,2016-12-31,Withdrawal,Withdrawal in cash,15,54437.9,Payment on Statement,,
25336,83,2016-12-31,Withdrawal,Withdrawal in cash,15,22193.8,Payment on Statement,,
26360,86,2016-12-31,Withdrawal,Withdrawal in cash,15,20067.7,Payment on Statement,,
29667,96,2016-12-31,Withdrawal,Withdrawal in cash,15,45968,Payment on Statement,,
32518,104,2016-12-31,Withdrawal,Withdrawal in cash,15,16835.4,Payment on Statement,,
35121,112,2016-12-31,Withdrawal,Withdrawal in cash,15,34320.5,Payment on Statement,,
35803,115,2016-12-31,Withdrawal,Withdrawal in cash,15,31267.3,Payment on Statement,,
37005,119,2016-12-31,Withdrawal,Withdrawal in cash,15,42795.6,Payment on Statement,,
38122,123,2016-12-31,Withdrawal,Withdrawal in cash,15,20102.8,Payment on Statement,,
42727,142,2016-12-31,Withdrawal,Withdrawal in cash,15,23325.7,Payment on Statement,,
39695,128,2016-12-31,Withdrawal,Withdrawal in cash,15,24526,Payment on Statement,,
41150,135,2016-12-31,Withdrawal,Withdrawal in cash,15,27062.6,Payment on Statement,,
899131,3064,2016-12-31,Withdrawal,Withdrawal in cash,15,30132.2,Payment on Statement,,
898613,3063,2016-12-31,Withdrawal,Withdrawal in cash,15,17710.4,Payment on Statement,,
893883,3047,2016-12-31,Withdrawal,Withdrawal in cash,15,19814.4,Payment on Statement,,
895008,3050,2016-12-31,Withdrawal,Withdrawal in cash,15,57781.8,Payment on Statement,,
498705,1699,2016-12-31,Withdrawal,Withdrawal in cash,15,21788.3,Payment on Statement,,
499481,1701,2016-12-31,Withdrawal,Withdrawal in cash,15,16352.6,Payment on Statement,,
502560,1713,2016-12-31,Withdrawal,Withdrawal in cash,15,31412.9,Payment on Statement,,
554396,1887,2016-12-31,Withdrawal,Withdrawal in cash,15,33915.6,Payment on Statement,,
555685,1891,2016-12-31,Withdrawal,Withdrawal in cash,15,28100.3,Payment on Statement,,
556120,1892,2016-12-31,Withdrawal,Withdrawal in cash,15,19405.3,Payment on Statement,,
641332,2189,2016-12-31,Withdrawal,Withdrawal in cash,15,43575.2,Payment on Statement,,
640431,2186,2016-12-31,Withdrawal,Withdrawal in cash,15,27747.2,Payment on Statement,,
644185,2199,2016-12-31,Withdrawal,Withdrawal in cash,15,28814.4,Payment on Statement,,
1838519,6226,2016-12-31,Withdrawal,Withdrawal in cash,30,45218.4,Payment on Statement,,
1781737,6040,2016-12-31,Withdrawal,Withdrawal in cash,15,42654.5,Payment on Statement,,
454581,1544,2016-12-31,Withdrawal,Withdrawal in cash,15,38216.5,Payment on Statement,,
452178,1536,2016-12-31,Withdrawal,Withdrawal in cash,30,46463.7,Payment on Statement,,
451693,1535,2016-12-31,Withdrawal,Withdrawal in cash,15,23005.7,Payment on Statement,,
453078,1539,2016-12-31,Withdrawal,Withdrawal in cash,100,8277.2,Payment on Statement,,
451261,1534,2016-12-31,Withdrawal,Withdrawal in cash,15,36707,Payment on Statement,,
473092,1610,2016-12-31,Withdrawal,Withdrawal in cash,15,45801.7,Payment on Statement,,
475756,1621,2016-12-31,Credit,Credit in cash ,1400,25547,,,
474684,1617,2016-12-31,Withdrawal,Withdrawal in cash,15,30927.4,Payment on Statement,,
1109676,3788,2016-12-31,Withdrawal,Withdrawal in cash,15,29403.8,Payment on Statement,,
1109249,3787,2016-12-31,Withdrawal,Withdrawal in cash,15,45747.2,Payment on Statement,,
1107111,3781,2016-12-31,Withdrawal,Withdrawal in cash,15,46119.6,Payment on Statement,,
1108258,3785,2016-12-31,Withdrawal,Withdrawal in cash,15,48216.7,Payment on Statement,,
1110776,3792,2016-12-31,Withdrawal,Withdrawal in cash,15,25733.2,Payment on Statement,,
1108717,3786,2016-12-31,Withdrawal,Withdrawal in cash,15,51785.5,Payment on Statement,,
1167090,3999,2016-12-31,Withdrawal,Withdrawal in cash,15,37762.7,Payment on Statement,,
1167545,4000,2016-12-31,Withdrawal,Withdrawal in cash,15,29549.6,Payment on Statement,,
1176556,4034,2016-12-31,Withdrawal,Withdrawal in cash,15,25865,Payment on Statement,,
2102968,7123,2016-12-31,Withdrawal,Withdrawal in cash,100,71429.1,Payment on Statement,,
2068981,7011,2016-12-31,Withdrawal,Withdrawal in cash,15,87618.8,Payment on Statement,,
3561102,928,2016-12-31,Credit,Interest Credit,104,24917.8,Interest Credited,,
3559708,890,2016-12-31,Credit,Interest Credit,136,29946.4,Interest Credited,,
3561861,947,2016-12-31,Credit,Interest Credit,104,23248.4,Interest Credited,,
3561233,930,2016-12-31,Credit,Interest Credit,210,48789.2,Interest Credited,,
3559607,887,2016-12-31,Credit,Interest Credit,95,23396.5,Interest Credited,,
3559801,892,2016-12-31,Credit,Interest Credit,104,23974.8,Interest Credited,,
3561925,950,2016-12-31,Credit,Interest Credit,171,48688.8,Interest Credited,,
3559407,884,2016-12-31,Credit,Interest Credit,11,3900.4,Interest Credited,,
3560319,903,2016-12-31,Credit,Interest Credit,15,4985.7,Interest Credited,,
3561766,944,2016-12-31,Credit,Interest Credit,210,52957.6,Interest Credited,,
3558691,863,2016-12-31,Credit,Interest Credit,298,81003.8,Interest Credited,,
3558809,866,2016-12-31,Credit,Interest Credit,164,40616,Interest Credited,,
3561168,929,2016-12-31,Credit,Interest Credit,129,27073,Interest Credited,,
3559286,882,2016-12-31,Credit,Interest Credit,166,43549.2,Interest Credited,,
3559539,886,2016-12-31,Credit,Interest Credit,165,38557.1,Interest Credited,,
3558552,861,2016-12-31,Credit,Interest Credit,237,62811.8,Interest Credited,,
3559473,885,2016-12-31,Credit,Interest Credit,236,47152.5,Interest Credited,,
3558623,862,2016-12-31,Credit,Interest Credit,390,56601.2,Interest Credited,,
3561696,943,2016-12-31,Credit,Interest Credit,79,18941,Interest Credited,,
3560082,899,2016-12-31,Credit,Interest Credit,207,43015.5,Interest Credited,,
3558488,860,2016-12-31,Credit,Interest Credit,124,27203.6,Interest Credited,,
3560417,907,2016-12-31,Credit,Interest Credit,106,25062.1,Interest Credited,,
3560258,902,2016-12-31,Credit,Interest Credit,153,31923,Interest Credited,,
3560988,925,2016-12-31,Credit,Interest Credit,191,40723.7,Interest Credited,,
3559983,897,2016-12-31,Credit,Interest Credit,75,19213.1,Interest Credited,,
3561295,931,2016-12-31,Credit,Interest Credit,77,25337.3,Interest Credited,,
270864,928,2016-12-31,Withdrawal,Withdrawal in cash,15,24903.2,Payment on Statement,,
270073,925,2016-12-31,Withdrawal,Withdrawal in cash,15,40709.1,Payment on Statement,,
271293,929,2016-12-31,Withdrawal,Withdrawal in cash,15,27058.4,Payment on Statement,,
298806,1018,2016-12-31,Withdrawal,Withdrawal in cash,15,26470.3,Payment on Statement,,
299370,1019,2016-12-31,Withdrawal,Withdrawal in cash,15,30965.3,Payment on Statement,,
303342,1032,2016-12-31,Withdrawal,Withdrawal in cash,15,29064.6,Payment on Statement,,
337321,1145,2016-12-31,Withdrawal,Withdrawal in cash,15,16291.8,Payment on Statement,,
332667,1132,2016-12-31,Withdrawal,Withdrawal in cash,30,43373.5,Payment on Statement,,
336879,1144,2016-12-31,Withdrawal,Withdrawal in cash,15,14465.1,Payment on Statement,,
333609,1134,2016-12-31,Withdrawal,Withdrawal in cash,15,28671.9,Payment on Statement,,
338123,1147,2016-12-31,Withdrawal,Withdrawal in cash,15,80655.4,Payment on Statement,,
334475,1136,2016-12-31,Withdrawal,Withdrawal in cash,15,85617.5,Payment on Statement,,
647439,2213,2016-12-31,Withdrawal,Withdrawal in cash,15,20945.1,Payment on Statement,,
648349,2216,2016-12-31,Withdrawal,Withdrawal in cash,15,73102.2,Payment on Statement,,
649429,2219,2016-12-31,Withdrawal,Withdrawal in cash,15,38934.2,Payment on Statement,,
649901,2220,2016-12-31,Withdrawal,Withdrawal in cash,15,23428.7,Payment on Statement,,
650470,2222,2016-12-31,Withdrawal,Withdrawal in cash,15,44569.4,Payment on Statement,,
237886,813,2016-12-31,Withdrawal,Withdrawal in cash,15,21436.6,Payment on Statement,,
242497,830,2016-12-31,Withdrawal,Withdrawal in cash,15,63359.3,Payment on Statement,,
1074237,3670,2016-12-31,Withdrawal,Withdrawal in cash,15,19143.5,Payment on Statement,,
1077962,3682,2016-12-31,Withdrawal,Withdrawal in cash,15,29989.2,Payment on Statement,,
1076811,3678,2016-12-31,Withdrawal,Withdrawal in cash,15,22350.6,Payment on Statement,,
1075364,3674,2016-12-31,Withdrawal,Withdrawal in cash,15,10859,Payment on Statement,,
1075869,3675,2016-12-31,Withdrawal,Withdrawal in cash,15,55194.1,Payment on Statement,,
3454353,7203,2016-12-31,Credit,Interest Credit,155,23664.7,Interest Credited,,
3455949,8957,2016-12-31,Credit,Interest Credit,263,66709.8,Interest Credited,,
3452217,5483,2016-12-31,Credit,Interest Credit,183,40123,Interest Credited,,
3454618,7449,2016-12-31,Credit,Interest Credit,17,15911,Interest Credited,,
3454965,7774,2016-12-31,Credit,Interest Credit,293,82845.5,Interest Credited,,
3452975,5984,2016-12-31,Credit,Interest Credit,139,44676.2,Interest Credited,,
3454199,7011,2016-12-31,Credit,Interest Credit,428,87633.4,Interest Credited,,
3453610,6473,2016-12-31,Credit,Interest Credit,283,48982.8,Interest Credited,,
3452899,5927,2016-12-31,Credit,Interest Credit,17,20789.5,Interest Credited,,
3456561,9337,2016-12-31,Credit,Interest Credit,234,54785.2,Interest Credited,,
3453829,6715,2016-12-31,Credit,Interest Credit,147,38869.4,Interest Credited,,
3453404,6281,2016-12-31,Credit,Interest Credit,132,33679.7,Interest Credited,,
3453892,6806,2016-12-31,Credit,Interest Credit,25,31259.2,Interest Credited,,
3452681,5740,2016-12-31,Credit,Interest Credit,172,43702.6,Interest Credited,,
3452318,5546,2016-12-31,Credit,Interest Credit,232,36889.9,Interest Credited,,
3454421,7231,2016-12-31,Credit,Interest Credit,144,87033.7,Interest Credited,,
3455380,8212,2016-12-31,Credit,Interest Credit,80,45624.8,Interest Credited,,
3455879,8934,2016-12-31,Credit,Interest Credit,215,52889.3,Interest Credited,,
3452507,5700,2016-12-31,Credit,Interest Credit,148,32948,Interest Credited,,
3452823,5868,2016-12-31,Credit,Interest Credit,94,24346.3,Interest Credited,,
3455277,8132,2016-12-31,Credit,Interest Credit,128,21655.3,Interest Credited,,
3455694,8759,2016-12-31,Credit,Interest Credit,343,68479.5,Interest Credited,,
3454021,6897,2016-12-31,Credit,Interest Credit,368,101509.9,Interest Credited,,
3453049,6034,2016-12-31,Credit,Interest Credit,421,78936,Interest Credited,,
3452751,5767,2016-12-31,Credit,Interest Credit,136,32019.9,Interest Credited,,
3456450,9203,2016-12-31,Credit,Interest Credit,45,19638.5,Interest Credited,,
3456099,9041,2016-12-31,Credit,Interest Credit,174,44375.8,Interest Credited,,
3454552,7445,2016-12-31,Credit,Interest Credit,177,44801.2,Interest Credited,,
3453115,6051,2016-12-31,Credit,Interest Credit,106,26926.5,Interest Credited,,
3515638,9883,2016-12-31,Credit,Interest Credit,110,23402.7,Interest Credited,,
3513142,9635,2016-12-31,Credit,Interest Credit,46,11209,Interest Credited,,
3517613,10079,2016-12-31,Credit,Interest Credit,271,65543.8,Interest Credited,,
3520164,10320,2016-12-31,Credit,Interest Credit,270,61789.6,Interest Credited,,
3513446,9656,2016-12-31,Credit,Interest Credit,73,23395.6,Interest Credited,,
3510170,9337,2016-12-31,Credit,Interest Credit,79,54551.6,Interest Credited,,
3519767,10266,2016-12-31,Credit,Interest Credit,158,34216.8,Interest Credited,,
3515481,9869,2016-12-31,Credit,Interest Credit,179,49103.2,Interest Credited,,
3509521,9236,2016-12-31,Credit,Interest Credit,75,37327.9,Interest Credited,,
3511499,9472,2016-12-31,Credit,Interest Credit,112,23534.8,Interest Credited,,
3512805,9591,2016-12-31,Credit,Interest Credit,116,21599.7,Interest Credited,,
3517994,10105,2016-12-31,Credit,Interest Credit,258,50830,Interest Credited,,
3513212,9640,2016-12-31,Credit,Interest Credit,152,44694.3,Interest Credited,,
3509931,9307,2016-12-31,Credit,Interest Credit,41,19779.8,Interest Credited,,
3520598,10364,2016-12-31,Credit,Interest Credit,155,34582.7,Interest Credited,,
3509740,9265,2016-12-31,Credit,Interest Credit,47,19213.1,Interest Credited,,
3513973,9703,2016-12-31,Credit,Interest Credit,174,63438.6,Interest Credited,,
3515266,9828,2016-12-31,Credit,Interest Credit,273,49816.1,Interest Credited,,
3510792,9403,2016-12-31,Credit,Interest Credit,130,29402.2,Interest Credited,,
3518424,10131,2016-12-31,Credit,Interest Credit,21,39404.6,Interest Credited,,
3514125,9707,2016-12-31,Credit,Interest Credit,214,36555,Interest Credited,,
3519441,10227,2016-12-31,Credit,Interest Credit,28,41589.3,Interest Credited,,
3515356,9833,2016-12-31,Credit,Interest Credit,168,29422.3,Interest Credited,,
3577425,1429,2016-12-31,Credit,Interest Credit,63,15246.7,Interest Credited,,
3576687,1410,2016-12-31,Credit,Interest Credit,272,72163.6,Interest Credited,,
3577292,1425,2016-12-31,Credit,Interest Credit,122,28620.1,Interest Credited,,
3578058,1449,2016-12-31,Credit,Interest Credit,110,28974.3,Interest Credited,,
3575746,1381,2016-12-31,Credit,Interest Credit,21,9154.6,Interest Credited,,
3574702,1345,2016-12-31,Credit,Interest Credit,135,42637.8,Interest Credited,,
3576819,1412,2016-12-31,Credit,Interest Credit,176,38508.5,Interest Credited,,
3575811,1382,2016-12-31,Credit,Interest Credit,39,15262.6,Interest Credited,,
3577168,1422,2016-12-31,Credit,Interest Credit,105,23426.1,Interest Credited,,
3576359,1402,2016-12-31,Credit,Interest Credit,134,29148.3,Interest Credited,,
3577823,1442,2016-12-31,Credit,Interest Credit,193,39290.4,Interest Credited,,
3575201,1366,2016-12-31,Credit,Interest Credit,122,28401.3,Interest Credited,,
3576460,1404,2016-12-31,Credit,Interest Credit,140,26838.3,Interest Credited,,
3575993,1392,2016-12-31,Credit,Interest Credit,217,44224.1,Interest Credited,,
3575635,1378,2016-12-31,Credit,Interest Credit,241,49348.4,Interest Credited,,
3577709,1440,2016-12-31,Credit,Interest Credit,100,27292,Interest Credited,,
3576290,1401,2016-12-31,Credit,Interest Credit,106,24666.6,Interest Credited,,
3575424,1373,2016-12-31,Credit,Interest Credit,63,15178.6,Interest Credited,,
