order_id,account_id,Bank_to,account_to,amount
29648,161,Hypotecni bank,62378322,892
29649,162,Moneta Money Bank,1325488,3458
29650,163,Max bank,86180990,3116
29651,163,PPF Bank,8512616,612
29652,165,Czech export bank,71082353,1788
29653,166,Fio bank ,26919090,3044
29654,168,Hypotecni bank,47454333,2013
29655,169,PPF Bank,71273207,4975
29656,169,Raiffeisen bank,15956706,696
29657,171,Max bank,5356938,3486
29658,172,Czech export bank,11598539,4221
29659,173,Raiffeisen bank,95605074,6256
29660,173,Raiffeisen bank,26238835,1428
29661,173,J&T Bank ,85405385,735
29662,173,J&T Bank ,50065535,189
29663,173,Max bank,38819456,8734
29664,174,Fio bank ,73784321,2139
29667,176,Moneta Money Bank,53236597,2288.3
29668,176,Kameron bank,55640232,4564
29669,176,Czech export bank,90734010,36
29670,176,Fio bank ,11736327,97
29671,178,Czech export bank,16301811,1482
29672,178,Bank Creditas,1946038,505
29673,179,Max bank,16450244,7615
29674,179,PPF Bank,47684144,1066
29675,179,Kameron bank,11941713,378
29676,179,Czech export bank,39081686,4608
29677,181,Raiffeisen bank,66975450,6780
29678,183,Kameron bank,5552345,5202
29679,183,Moneta Money Bank,85986530,752
29680,184,PPF Bank,65986150,1623
29681,185,PPF Bank,14592427,6526
29682,186,Moneta Money Bank,83964973,6862
29683,187,Max bank,39898049,2798
29684,188,Kameron bank,26629168,7426
29685,189,Moneta Money Bank,54808670,4244
29686,189,Czech export bank,28932172,750
29687,189,UniCredit Bank,76972424,360
29688,190,Air Bank,24279922,4519
29689,190,Hypotecni bank,3125066,3233
29690,190,Hypotecni bank,5304331,42
29691,190,Air Bank,50605297,1316
29692,191,Air Bank,89219265,4420.9
29693,192,PPF Bank,70552640,3583
29694,193,Fio bank ,21547550,7110
29695,194,J&T Bank ,39405787,2648
29696,195,Kameron bank,37868559,6260
29697,196,UniCredit Bank,84787642,1270
29698,196,Kameron bank,90261184,4417
29699,196,Raiffeisen bank,30200135,2554
29700,196,PPF Bank,21173686,385
29701,197,Trinity Bank,67286312,9454
29702,198,UniCredit Bank,67775189,700
29703,198,Fio bank ,64557379,2166
29704,199,J&T Bank ,15875643,1984
29705,201,Czech export bank,34061867,9584
29711,204,Max bank,59721839,1950
29712,205,Kameron bank,99149345,4297
29713,206,Raiffeisen bank,75771987,2902
29714,207,Raiffeisen bank,71656483,403
29715,207,Moneta Money Bank,4786676,10
29716,207,Kameron bank,83722591,2726
29717,208,Kameron bank,9118587,4148
29718,208,J&T Bank ,77937751,1767
29719,208,Max bank,98481541,986
29720,208,Czech export bank,28241002,545
29721,209,Fio bank ,17469549,483
29722,209,Trinity Bank,52778792,41
29723,209,Raiffeisen bank,1601225,1796
29724,210,PPF Bank,24753552,7534
29725,211,PPF Bank,2884138,2394
29726,212,Trinity Bank,58462047,13841
29727,213,Trinity Bank,4553950,5625
29728,214,Trinity Bank,26426023,2097
29729,215,UniCredit Bank,65896379,2121
29730,216,Raiffeisen bank,85333066,1486
29731,216,Moneta Money Bank,38205874,1513
29732,217,J&T Bank ,23454666,3459
29733,217,Air Bank,55710929,653
29734,218,PPF Bank,10956299,3182
29735,219,Moneta Money Bank,77167427,2336
29736,219,Czech export bank,33257001,2988
29737,220,Fio bank ,26923066,3095
29738,221,J&T Bank ,98228793,7896
29739,222,Hypotecni bank,52384513,3440.9
29740,224,Trinity Bank,63218277,3503
29741,225,UniCredit Bank,74407583,3383
29742,225,Raiffeisen bank,93545496,2
29743,226,Max bank,29971635,8928
29744,226,Moneta Money Bank,39824432,9112
29745,227,Moneta Money Bank,28972292,9381
29746,228,Fio bank ,78199761,1946
29747,228,Trinity Bank,26569271,2158
29748,229,Bank Creditas,55160808,2505
29749,230,Bank Creditas,66906124,5615
29750,230,Kameron bank,95935326,1527
29751,230,Raiffeisen bank,3922403,1058
29752,231,Hypotecni bank,51732343,2073
29753,232,Raiffeisen bank,62672704,3643
29755,234,UniCredit Bank,20655334,2809
29756,235,UniCredit Bank,79934978,895
29757,235,Raiffeisen bank,52539473,1321
29758,237,Kameron bank,13233763,152
29759,237,Kameron bank,58324587,1788
29760,238,PPF Bank,39059901,2234
29761,239,J&T Bank ,96977406,1042
29762,239,UniCredit Bank,30218410,5995
29763,239,PPF Bank,47741246,152
29764,240,Hypotecni bank,50178039,9621
29765,240,Czech export bank,22710114,1050
29766,241,Fio bank ,28285497,1344
29767,241,UniCredit Bank,27381342,632
29768,241,Trinity Bank,14364838,610
29769,242,Hypotecni bank,23104387,1062
29770,242,Hypotecni bank,62032568,2977
29771,243,Raiffeisen bank,55282419,1041
29772,243,Moneta Money Bank,73269855,3067
29773,244,UniCredit Bank,74832015,2190
29774,244,Czech export bank,78948193,226
29775,244,Moneta Money Bank,7008588,232
29776,246,Air Bank,8283996,1970
29780,248,Kameron bank,15760773,2484.9
29781,249,Czech export bank,26255619,5618
29782,249,Moneta Money Bank,99770348,1876
29783,250,Hypotecni bank,24246722,3066
29784,251,Kameron bank,92959981,3059
29785,252,J&T Bank ,91842740,1767
29788,255,Hypotecni bank,88934081,5323
29789,257,Bank Creditas,61510014,3816.7
29790,257,Moneta Money Bank,22533124,14166
29791,258,Raiffeisen bank,37360865,3737
29792,259,UniCredit Bank,86616670,297
29793,259,Trinity Bank,8156723,2857
29794,260,Moneta Money Bank,71713226,5247
29795,261,PPF Bank,49824553,2182
29796,261,Bank Creditas,63415229,371
29797,263,Hypotecni bank,73582678,6145
29798,264,Air Bank,19889706,3307
29799,265,Trinity Bank,28306174,2900
29800,266,Hypotecni bank,96796440,4975.2
29801,267,Raiffeisen bank,4520118,3074
29802,268,Czech export bank,4418570,3121
29803,269,Fio bank ,7832789,456
29804,269,Air Bank,55865961,1690
29805,270,Fio bank ,95370232,5462
29806,271,Fio bank ,67201065,1535
29807,272,PPF Bank,15116119,7454
29808,273,Bank Creditas,77701490,1320.1
29809,273,Czech export bank,80156594,5965
29810,273,Trinity Bank,85742187,178
29811,273,Air Bank,15870309,1836
29812,274,Bank Creditas,91567790,9886
29813,275,J&T Bank ,46536463,198
29814,275,Max bank,60457825,2062
29815,276,Kameron bank,22070646,4470.5
29816,276,Trinity Bank,80801391,5212
29817,277,Bank Creditas,67316442,2682.3
29818,278,PPF Bank,93538832,3362
29819,278,UniCredit Bank,5409831,676
29820,279,Trinity Bank,46485179,624
29821,279,Fio bank ,68556356,1380
29822,280,Raiffeisen bank,10603589,3334
29823,280,Max bank,1495051,4694
29824,280,Fio bank ,42263525,957
29825,281,J&T Bank ,31156671,5578
29826,282,Moneta Money Bank,6997305,7531
29827,282,Kameron bank,4248011,802
29828,283,Czech export bank,9780645,2802
29829,284,Trinity Bank,34219330,5629
29830,285,Max bank,52409064,667
29831,286,Bank Creditas,3664666,9848
29832,287,J&T Bank ,57389086,772
29833,287,Trinity Bank,36382317,1572
29834,288,Hypotecni bank,29425543,3257
29835,288,Fio bank ,97550320,207
29836,289,Kameron bank,78823619,5745
29837,289,Czech export bank,72798836,2621
29838,290,Air Bank,60961633,2577
29839,290,Max bank,10382223,2653
29840,290,PPF Bank,5267882,3274
29841,291,Air Bank,46721518,1941.9
29842,291,Trinity Bank,31507086,62
29843,291,Air Bank,27026367,12925
29844,292,Raiffeisen bank,722319,1986
29845,293,Fio bank ,11480212,1636
29846,293,Fio bank ,85708903,845
29847,293,Trinity Bank,34143477,1366
29848,294,UniCredit Bank,91239595,5842
29849,294,Raiffeisen bank,94949411,145
29850,294,PPF Bank,58432865,430
29851,294,Max bank,58291846,156
29852,295,Kameron bank,78368478,6992
29853,296,Kameron bank,63953745,2646
29854,300,Air Bank,46045607,1628
29855,301,PPF Bank,99728369,1950
29856,302,Bank Creditas,12600803,3236
29857,303,Raiffeisen bank,43664085,3803
29858,303,Max bank,25709551,3132
29859,304,Kameron bank,27760046,14367
29860,305,Bank Creditas,77063089,2953
29861,306,PPF Bank,70354622,3657
29862,308,J&T Bank ,17178321,1284
29863,309,Max bank,74396675,1901
29865,311,J&T Bank ,93944477,4777
29866,311,Hypotecni bank,80353498,371
29867,311,Moneta Money Bank,47159934,3375
29868,311,Air Bank,37490087,355
29869,311,Air Bank,67794364,422
29870,312,Hypotecni bank,31189668,7814
29871,313,Moneta Money Bank,6982702,2294
29872,314,Hypotecni bank,56231456,2785
29873,314,Raiffeisen bank,99187093,13691
29874,315,UniCredit Bank,6354302,3509
29875,317,Fio bank ,93325268,3068
29876,318,Moneta Money Bank,74740838,2858
29877,319,Moneta Money Bank,41618597,6149.5
29878,319,Raiffeisen bank,87909203,1057
29879,319,Raiffeisen bank,32717514,2196
29880,319,Kameron bank,559258,416
29881,321,Max bank,44067668,1876
29882,322,Bank Creditas,4537106,6550
29883,323,Moneta Money Bank,65761726,3025
29884,324,Czech export bank,83596694,1785
29885,324,Raiffeisen bank,19554490,284
29886,325,Moneta Money Bank,69376104,2741
29887,326,UniCredit Bank,44978225,1881
29888,326,Trinity Bank,63815659,1567
29889,327,Czech export bank,86823993,3252
29890,327,PPF Bank,47999680,3805
29891,328,Czech export bank,10446250,1287
29892,328,Moneta Money Bank,3014916,1145
29893,329,Moneta Money Bank,73389369,792
29894,329,Max bank,23747241,3110
29895,330,Czech export bank,23515820,6908
29896,331,Max bank,55443829,3528
29897,332,UniCredit Bank,6061673,2385
29898,333,Fio bank ,71807402,1634
29899,333,Fio bank ,42206424,72
29900,333,Kameron bank,13184309,292
29901,334,PPF Bank,5579948,2374
29902,334,UniCredit Bank,37566691,1168
29903,335,Moneta Money Bank,80065911,2697
29904,336,Kameron bank,40453487,4067
29905,338,Kameron bank,37576079,2252
29906,339,Czech export bank,60226070,7801.2
29907,339,Hypotecni bank,52391654,4087
29908,339,PPF Bank,21728092,48
29909,340,J&T Bank ,26790029,917
29910,340,Air Bank,80708729,901
29911,342,Raiffeisen bank,44861531,2332
29912,343,Fio bank ,15103727,2505
29913,344,Hypotecni bank,47483712,4739
29914,344,J&T Bank ,77219027,1683
29915,345,Fio bank ,68522327,8819
29916,346,Raiffeisen bank,13685655,7875
29917,347,J&T Bank ,37914210,7801.2
29918,349,Bank Creditas,83005469,4660
29919,349,Air Bank,66345286,3568
29920,350,Kameron bank,77066629,3791
29921,352,Raiffeisen bank,56583434,1992
29922,353,Max bank,38371622,2687
29923,353,J&T Bank ,53546470,879
29924,354,Max bank,38533955,4771
29925,355,Hypotecni bank,5620038,5012
29926,355,Moneta Money Bank,28271162,2927
29927,356,Moneta Money Bank,75963014,4188
29928,357,Trinity Bank,3304052,1788
29929,357,PPF Bank,44572526,280
29930,358,Max bank,86354624,532
29931,358,Bank Creditas,65233623,1434
29932,358,Bank Creditas,94764554,27
29933,358,Bank Creditas,94047659,73
29934,359,Max bank,86209541,3544
29935,361,Air Bank,95369791,1941
29936,361,Bank Creditas,59163767,1388
29937,362,Bank Creditas,76221531,6001
29938,362,Bank Creditas,91743081,292
29939,362,Trinity Bank,62852764,68
29940,364,Bank Creditas,39232927,2221
29941,365,Air Bank,84520810,1766
29942,365,Fio bank ,34196335,11528
29943,365,Fio bank ,93025660,1782
29944,365,Max bank,12044257,5
29945,365,Max bank,89672892,9
29946,366,PPF Bank,75874721,2442
29947,366,Air Bank,11380994,1914
29948,366,Fio bank ,29283583,836
29949,366,Bank Creditas,68747752,3188
29950,367,Raiffeisen bank,59022962,6384
29951,368,Bank Creditas,13122338,4381
29952,368,Trinity Bank,27974027,742
29953,368,Max bank,35746020,269
29954,368,Air Bank,33245110,217
29955,368,Max bank,35739392,1071
29959,370,UniCredit Bank,39040500,215
29960,370,Trinity Bank,39893967,1188
29961,370,Raiffeisen bank,57786190,672
29962,372,Bank Creditas,65089881,7785
29963,372,UniCredit Bank,83496254,2148
29964,373,Czech export bank,55648291,6452
29965,375,Raiffeisen bank,32626718,3824
29966,376,PPF Bank,32540393,7097
29967,378,UniCredit Bank,28203147,3840.2
29968,378,Raiffeisen bank,6934583,8537
29969,378,Kameron bank,85313254,1184
29970,378,Bank Creditas,70710897,2
29971,378,Raiffeisen bank,23140502,4
29972,379,J&T Bank ,35418421,1561
29973,379,J&T Bank ,30392295,434
29974,379,Moneta Money Bank,42905002,177
29975,379,PPF Bank,80296814,312
29979,382,PPF Bank,24703598,2235
29980,382,Czech export bank,26432061,27
29981,382,UniCredit Bank,87132888,14
29982,383,Trinity Bank,90773456,2057
29983,384,UniCredit Bank,48816210,2304.1
29984,385,Hypotecni bank,28537345,2160
29985,385,Bank Creditas,91164779,31
29986,385,Moneta Money Bank,79315310,121
29987,386,J&T Bank ,39887976,4711
29988,388,J&T Bank ,48455613,6524
29989,389,Raiffeisen bank,8779210,884
29990,389,Hypotecni bank,25948596,3280
29991,390,Air Bank,24210876,4977
29992,392,Moneta Money Bank,99824958,1407
29993,392,Hypotecni bank,27344715,5663
29994,393,Kameron bank,10808188,302
29995,393,Kameron bank,27135431,5920
30001,395,Air Bank,55113202,3871
30002,395,Moneta Money Bank,73209607,4036
30003,395,Hypotecni bank,8607322,828
30004,396,Max bank,71221321,5245
30005,396,Moneta Money Bank,26179212,68
30006,396,Czech export bank,57553499,308
30007,396,Air Bank,33896279,261
30008,398,PPF Bank,60894626,1702
30009,399,Moneta Money Bank,54855972,3090.5
30010,399,PPF Bank,47246265,6009
30011,400,Hypotecni bank,99955695,6948
30012,401,Kameron bank,66742342,3600
30013,401,Trinity Bank,88922524,1769
30014,402,Air Bank,77129357,2083
30015,402,J&T Bank ,98438930,2211
30016,403,Raiffeisen bank,15987736,2401
30017,404,Moneta Money Bank,68393963,1563
30018,404,Hypotecni bank,36616319,3450
30019,405,Trinity Bank,24659914,1339
30020,405,UniCredit Bank,56718403,9632
30021,405,Hypotecni bank,11276412,1497
30022,405,Raiffeisen bank,1622963,3579
30023,406,Max bank,36316532,1800
30024,406,Raiffeisen bank,28461408,264
30025,407,Hypotecni bank,90311783,5411
30026,407,Trinity Bank,32662862,14
30027,408,Fio bank ,62073033,5042
30028,409,Fio bank ,11262268,6810
30029,410,Hypotecni bank,85225909,3825
30030,411,Fio bank ,15704101,8499
30031,412,Hypotecni bank,35379701,8727
30032,413,J&T Bank ,49738037,2107
30033,414,Kameron bank,96403741,7870
30034,415,Czech export bank,64789080,8740
30035,416,Bank Creditas,30481368,982
30036,416,J&T Bank ,54040610,987
30037,418,UniCredit Bank,92404669,9316
30038,420,Raiffeisen bank,49270671,7192
30039,421,Air Bank,94967096,5571
30040,423,Max bank,78170078,1942
30041,424,Hypotecni bank,64132481,4591
30042,425,Bank Creditas,21181220,2390
30043,425,Czech export bank,54766887,806
30044,425,Moneta Money Bank,30106497,64
30045,426,UniCredit Bank,45444989,4201.2
30046,426,Kameron bank,9528249,7497
30047,426,Moneta Money Bank,34606760,886
30048,427,J&T Bank ,43451237,8166
30049,428,UniCredit Bank,64758032,3987
30050,429,PPF Bank,79427033,5286
30051,431,Moneta Money Bank,65853184,6482
30052,431,Raiffeisen bank,66201281,715
30053,434,Hypotecni bank,98904990,5666
30054,434,Bank Creditas,31071788,1637
30055,435,UniCredit Bank,75157016,3189
30056,436,Hypotecni bank,36372977,4885
30057,436,PPF Bank,61715274,72
30058,436,J&T Bank ,51325714,293
30059,437,J&T Bank ,83092337,2248
30060,437,Air Bank,18505370,3106
30061,440,Fio bank ,84914481,5825
30062,440,Moneta Money Bank,78983664,1756
30063,441,Czech export bank,58999586,4473
30064,441,Air Bank,91662942,3041
30065,441,Hypotecni bank,11125362,765
30066,442,Trinity Bank,55799275,7455
30067,442,J&T Bank ,21739507,5606
30068,442,Bank Creditas,98938321,2068
30069,443,Raiffeisen bank,39137601,1508
30070,443,PPF Bank,32109809,463
30071,443,Fio bank ,69234090,67
30072,444,Fio bank ,53384882,4469
30073,445,Fio bank ,65335863,3998
30074,445,PPF Bank,49652427,7567
30075,446,Trinity Bank,81248056,6941
30076,447,Moneta Money Bank,35721868,5554
30077,447,Bank Creditas,99847948,554
30080,449,Kameron bank,84388368,164
30081,449,Hypotecni bank,77323555,1789
30082,450,Fio bank ,70611452,2404
30083,451,Max bank,62285023,7208
30084,452,Czech export bank,27081912,5058
30085,452,Czech export bank,33601921,375
30086,453,Fio bank ,23475498,7012
30087,454,Moneta Money Bank,80305754,5687
30088,455,Bank Creditas,60398054,8339
30089,456,Hypotecni bank,12626231,4783.1
30092,458,Kameron bank,65390032,9586
30093,458,J&T Bank ,51641261,1031
30094,460,UniCredit Bank,57986551,3554
30095,461,Czech export bank,30994916,1530
30096,462,Bank Creditas,32409316,8325
30097,463,Fio bank ,88697516,6385
30098,464,Max bank,4756558,3509
30099,465,Bank Creditas,3081554,1278.5
30100,465,PPF Bank,59340989,11126
30101,467,Max bank,90201395,3937
30102,467,Kameron bank,73301529,2895
30103,468,Kameron bank,87048482,3735
30104,468,Air Bank,30738526,499
30105,469,Kameron bank,32004195,2672
30106,470,Kameron bank,41005563,3568
30107,470,PPF Bank,70524096,630
30108,470,Czech export bank,43083483,1078
30109,471,Bank Creditas,26110238,4695
30110,471,J&T Bank ,97181409,931
30111,471,J&T Bank ,33731478,253
30112,471,Raiffeisen bank,45840859,202
30113,472,Max bank,6824928,8200.2
30114,473,Moneta Money Bank,65049969,4237
30115,473,Raiffeisen bank,67095625,2640
30116,473,Fio bank ,76250731,75
30117,473,Air Bank,22973603,333
30118,474,Max bank,33440119,694
30119,474,Czech export bank,79647504,1606
30120,475,Max bank,33983725,2760
30121,477,J&T Bank ,7729125,2660
30122,477,Moneta Money Bank,40855217,254
30123,477,PPF Bank,25759440,463
30124,478,Trinity Bank,9013551,8137
30125,479,Air Bank,117046,2064
30126,480,Raiffeisen bank,12772888,4687
30127,480,PPF Bank,72983371,827
30128,481,Moneta Money Bank,50636059,64
30129,481,PPF Bank,29175484,1825
30134,483,Moneta Money Bank,70076584,1940
30135,484,Moneta Money Bank,19220835,1652
30136,484,UniCredit Bank,16825324,1995
30137,484,Moneta Money Bank,17417866,108
30138,484,PPF Bank,31340134,1412
30139,485,Kameron bank,58655077,2629.6
30140,485,Trinity Bank,89687889,7421
30141,485,Hypotecni bank,56978738,1591
30142,485,Kameron bank,20747721,3572
30143,487,Moneta Money Bank,40831804,10684
30144,489,Bank Creditas,53826928,5608
30145,490,Max bank,89067864,2042
30146,491,Trinity Bank,26434993,9090
30147,494,Trinity Bank,88363974,2629.6
30148,494,Moneta Money Bank,24389368,8728
30149,494,Bank Creditas,62039023,207
30153,496,PPF Bank,60471528,3602
30154,497,Trinity Bank,31873262,3405
30157,500,Hypotecni bank,67136871,2629.6
30158,500,UniCredit Bank,57751679,3267
30159,500,Kameron bank,1471186,539
30160,501,Raiffeisen bank,79491948,4382.7
30161,502,Bank Creditas,27518320,2498
30162,503,Fio bank ,34156501,7175
30163,503,Moneta Money Bank,41920358,1746
30164,504,Max bank,2230048,2308
30165,505,Fio bank ,6899768,18
30166,505,Czech export bank,5099285,2203
30167,506,Moneta Money Bank,21071094,3011
30168,506,Fio bank ,70163124,107
30169,506,PPF Bank,18590253,278
30170,506,PPF Bank,82022094,724
30171,508,Air Bank,41786360,2480
30172,509,PPF Bank,50397551,6261
