CUST_ID,CREDIT_CARD_NUMBER,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PAYMENTS,TENURE,DATE_OF_TXN
C10091,9096-0515-7789-7567,4538.53,739.41,573.39,1613.77,10,2023-01-02
C10092,5743-2727-4002-8297,3042.19,1631.43,608.39,11057.35,13,2024-10-30
C10093,0748-4568-4494-0745,1880.13,243,2859.36,12675.07,16,2023-06-18
C10094,8866-0573-7957-8346,1668.53,584.62,1022.01,1794.42,22,2023-09-22
C10095,4859-6600-5640-9322,1166.41,540.73,2370.12,3377.02,26,2024-07-20
C10096,0945-6485-0055-9306,4237.07,2110.22,86,685.07,11,2023-01-13
C10097,0207-0446-4593-0116,4317.93,1852.27,2093.32,1932.5,3,2023-05-14
C10098,2387-5095-2159-7546,814.62,636.88,1153.53,9729.32,5,2024-07-12
C10099,7120-3435-6269-2319,1146.44,428.73,602.62,3493.1,33,2023-10-11
C10100,2134-7159-8196-6562,4314.91,1590.75,1070.3,5140.74,28,2023-06-30
C10101,9096-5234-1967-3937,3125.24,2105.58,2928.28,4466.33,1,2023-01-28
C10102,6282-8614-8038-2458,1221.78,144.19,1964,230,4,2023-06-22
C10103,9164-7375-9191-1699,580.94,424.02,2010.07,17498.25,14,2023-11-10
C10104,2005-6372-2553-6262,4509.78,1333.49,1958.52,3437.51,23,2024-07-14
C10105,6811-8177-3386-6920,2616.88,2345.11,1753.09,2013.92,22,2023-03-23
C10106,0656-5896-9841-2782,2843.63,1359.38,1945.56,485.11,12,2024-03-14
C10107,1951-3763-2055-6820,3785.52,1172.06,1646.72,3315.02,27,2024-03-22
C10108,0463-0551-7511-0396,3268.04,959.72,1503.96,901.27,7,2023-10-08
C10109,7252-6070-7023-3807,2324.96,1411.21,1033.1,2260.21,1,2024-11-09
C10110,9801-2788-4096-1648,2318.79,688.57,2076.65,796.65,14,2023-05-03
C10111,6679-4539-4253-7663,2484.47,2003.24,1639.68,8317.59,16,2023-03-29
C10112,5795-1282-6654-8069,390.31,359.4,678.65,2985.05,32,2024-12-04
C10113,1137-5298-8835-6539,4738.14,3088.6,2194.09,106.86,18,2023-01-28
C10114,8409-7133-4206-7221,2923.76,156.48,1005.71,4785.64,9,2024-10-29
C10115,8248-2764-3722-3321,3231.63,1465.43,2674.54,9801.84,25,2023-07-04
C10116,8310-8805-2970-0413,1353.78,1326.66,1500.04,3742.02,19,2024-12-04
C10117,3625-1774-1087-6550,2130.9,239.1,1147.11,3468.74,2,2024-05-10
C10118,1731-5585-6549-8373,4692.2,3456.84,1978.78,13094.54,8,2023-09-03
C10119,7689-8821-3290-2235,4765.95,4570.2,365.4,6690.13,2,2023-09-18
C10120,3379-4174-5840-5027,543.59,146.71,1362.88,14950.38,29,2023-01-22
C10121,1128-2973-3122-5710,964.99,642.29,2474.11,6906.72,15,2024-06-11
C10122,9301-8099-8703-5087,3082.68,2281.11,1341.03,8028.74,33,2024-03-05
C10123,8601-0427-1261-1715,3128.92,1780.38,2710.06,14840.75,33,2024-12-15
C10124,1385-9006-8507-3759,2810.2,2149.21,1451.88,5546.87,12,2023-10-15
C10125,1475-1618-2063-0885,2658.25,2281.09,2386.97,316.39,36,2024-05-14
C10126,9985-2850-8752-9948,2341.04,794.83,1843.75,588.54,14,2024-03-12
C10127,1261-4886-1563-7568,1485.37,1036.03,37.96,2948.9,35,2024-05-06
C10128,2352-5302-6625-2062,410.38,248.71,1125.59,7618.64,30,2023-01-05
C10129,1775-0383-0016-7160,440.31,322.04,2833.15,6858.53,36,2024-11-17
C10130,8430-6228-5763-4471,1850.97,1782.49,2536.83,7224.5,11,2023-07-03
C10131,2053-7377-7312-2029,2306.36,2180.69,43.18,7317.77,27,2024-12-27
C10132,5208-8528-6241-6884,1253.63,746.41,2116.95,6511.96,34,2024-06-14
C10133,0787-8587-2500-1318,4585.3,1971.35,164.48,463.79,23,2023-06-24
C10134,7551-7205-2037-1815,1961.06,1444.64,226.56,860.17,32,2023-12-04
C10135,5613-9726-3537-3350,4789.01,2152.89,857.17,4117.18,23,2024-12-22
C10136,5720-4311-0391-0524,2138.21,959.15,2435.5,15891.41,5,2024-01-19
C10137,6291-1911-8943-6696,463.4,405.78,2395.95,5702.03,33,2024-08-26
C10138,2094-9220-6745-0083,2709,1897.06,2235.83,1029.44,28,2023-11-29
C10139,3023-8748-4178-6131,1886.58,483.23,1335.12,11549.3,10,2024-08-25
C10140,7634-5223-9260-6946,3756.76,341.93,347.25,627.73,25,2024-09-05
C10141,3565-6455-1001-2834,4123.54,297.27,2690.86,1419.11,10,2024-10-28
C10142,4919-4468-8294-5577,4227.92,3596.24,2239.37,79.23,1,2023-09-12
C10143,4514-6095-0927-3885,1084.05,388.71,1271.69,10067.23,23,2024-11-05
C10144,8279-8889-9227-5754,1776.11,413.07,2661.05,692.94,22,2023-06-19
C10145,5760-0330-2713-6118,2833.03,2828.35,2868.77,12220.65,5,2024-01-10
C10146,0375-3342-8776-0089,4416.7,3498.12,1919.16,2096.6,3,2024-06-26
C10147,8552-2894-8979-0260,2347.54,2189.7,2959.24,10794.17,36,2023-12-01
C10148,8673-4930-5041-3924,122.09,4.89,1962.19,1480.63,18,2023-12-29
C10149,6850-1082-4405-0454,3069,3002.75,2054.12,2686.48,15,2023-03-19
C10150,6259-1024-5831-0056,3719.74,2353.3,765.11,5083.79,26,2024-09-15
C10151,3952-7682-6011-2888,782.04,544,2147.26,1148.02,29,2023-09-28
C10152,2094-9664-3098-5830,995.03,436.66,532.99,16242.97,14,2024-12-07
C10153,4422-2273-1531-2806,1998.54,41.64,2972.42,8505.69,30,2023-01-07
C10154,5721-3232-8508-6582,2799.59,1958.96,301.44,1831.84,13,2023-02-03
C10155,8998-2479-6468-9852,4891.14,1086.53,1108.47,5454.83,16,2024-08-06
C10156,6357-7601-2203-6262,4486.59,3314.86,2417.75,2876.92,6,2023-08-10
C10157,0197-9130-2000-2534,4607.28,3919.13,92.16,783.18,34,2023-04-20
C10158,3610-1124-3929-9329,414.85,69.61,2467.63,2160.91,30,2024-05-19
C10159,5459-2302-3434-8690,389.45,217.09,1637.1,2539.09,25,2023-01-05
C10160,1748-5981-7514-6080,599.24,439.22,1882.03,3862.52,17,2023-09-05
C10161,9130-7200-3964-5636,4700.75,3208.17,687.98,5335,8,2024-11-07
C10162,0384-6604-6030-4159,2078.32,553.83,862.24,4257.21,13,2024-09-23
C10163,5272-5543-2412-2120,112.24,10.8,2129.01,9957.72,30,2024-10-23
C10164,6195-7790-2558-9471,151.86,92,2005.5,408.44,15,2023-02-27
C10165,6400-1899-2185-0472,203.11,101.87,912.85,1124.33,5,2024-08-08
C10166,2328-7565-4443-3085,4832.85,3732.11,1666.88,3827.46,4,2024-06-10
C10167,4711-1004-8660-2080,2792.73,373.49,1439.77,5459.72,12,2024-10-31
C10168,4217-1812-3575-1025,4515.93,3208.43,484.21,9296.07,14,2023-04-13
C10169,1372-1312-8597-4911,1626.76,839.17,2205.4,336.01,10,2023-03-04
C10170,2812-5246-7350-4802,1415.26,317.84,756.22,8412.03,20,2024-07-14
C10171,5538-5054-1668-3075,1831.73,902.69,798.21,2457.53,14,2024-10-18
C10172,3333-9217-0398-7230,4285.88,3685.62,2473.66,9825.62,16,2024-04-23
C10173,2041-0186-9219-7146,1651.15,1460.39,2665.41,7294.03,14,2024-12-28
C10174,1903-3462-2130-2423,2130.08,2043.69,160.75,8798.1,9,2023-03-16
C10175,8336-1073-0893-5050,1872.33,347.31,1687.44,1688.32,3,2024-07-19
C10176,1581-1900-7121-4853,1881.62,976.98,344.59,4071.59,29,2023-04-13
C10177,1078-3913-0944-6941,4048.37,968.13,1784.42,853.96,34,2024-05-19
C10178,4619-4452-6914-1687,3660.58,385.2,2877.9,12466.82,10,2023-05-14
C10179,0431-1913-9767-9741,2871.01,79.36,1441.14,3024.16,32,2023-08-11
C10180,5670-0066-9773-2200,439.53,196.18,2205.5,11453.17,14,2024-07-11
C10181,4933-3984-8852-8190,4806.59,2179.68,2426.58,1667.94,11,2024-11-22
C10182,5213-2198-4961-9125,1934.6,535.99,2070.85,10122.79,11,2024-08-14
C10183,8997-0275-2836-4112,935.89,263.09,2074.69,163.43,32,2023-02-22
C10184,2095-9619-1364-5260,2567.17,2034.11,1463.54,3031.53,25,2024-10-21
C10185,9752-0839-9909-5962,2494.57,1447.91,2086.98,4515.86,33,2023-06-04
C10186,5891-1532-6104-3879,105.36,4.48,1642.9,6692.74,33,2024-09-16
C10187,4826-2107-9762-3292,2898.02,1141.81,1765.54,11490.53,3,2023-09-30
C10188,5676-6979-8447-4622,1795.82,746.17,2274.77,9426.57,1,2023-12-01
C10189,5460-5069-4514-2987,1392.88,1068.92,1634.65,10193.8,3,2024-05-29
C10190,2469-6428-6611-7165,4412.52,3653.36,960.3,19254.9,28,2024-02-12
C10191,6117-4088-9200-8166,3820.95,1730.28,199.42,5173.33,1,2024-06-17
C10192,4487-4454-3252-2271,1831.26,84.37,2502.19,1439.73,25,2024-01-24
C10193,6262-0199-4304-6744,2990.45,1617.17,339.32,2233.36,15,2024-03-04
C10194,9877-9873-6001-1689,4896.91,3234.13,590.9,10293.81,30,2024-08-26
C10195,0513-5975-0401-1019,4986.91,2418.77,1784.49,4607.69,6,2023-06-12
C10196,2289-5004-7813-2084,597.16,516.28,978.17,5042.11,11,2023-09-28
C10197,8103-4345-7971-6434,448.63,292.15,2229.53,197.59,29,2024-07-27
C10198,6465-1435-7163-1494,3846.12,893.2,1982.52,1844.28,32,2024-06-26
C10199,3631-8955-4394-8844,4882.08,545.39,2668.31,5324.32,29,2023-10-24
C10200,0089-2654-7544-8676,895.43,630.27,616.76,5041.34,25,2024-02-02
C10201,5077-1263-3491-3244,1551.2,567.61,398.25,6713.97,31,2024-03-21
C10202,1761-5038-9812-9871,342.87,152.23,2787.4,674.64,32,2023-12-09
C10203,3926-8554-5485-1418,2559.02,1482.39,2234.5,2553.24,9,2024-08-17
C10204,4100-2605-3754-5062,2765.13,27.22,1466.99,11789.91,33,2023-05-29
C10205,0411-0253-7316-1689,1042.72,868.22,1948.91,1637.02,10,2024-01-31
C10206,2059-6365-1070-0390,3543.05,3192.61,2018.8,4042.82,20,2024-10-04
C10207,5480-0225-1181-1771,528.18,60.54,910.76,8097.58,31,2023-04-06
C10208,8079-6590-0006-4848,1497.49,637.42,2872.72,3180.55,17,2024-08-30
C10209,0183-1296-1837-7229,3891.66,2924.78,709.87,7260.82,23,2024-12-17
C10210,4923-0990-5497-5752,1309.31,861.22,2535.11,3898.55,1,2023-09-13
C10211,2232-8567-2679-4098,1121.59,109.73,1132.66,2769.58,24,2024-04-30
C10212,7096-3404-9277-8230,1186.33,432.17,1756.76,1977.38,23,2023-07-02
C10213,4962-3055-1831-5695,2803.78,32.46,1740.72,3672.06,26,2024-06-12
C10214,7101-6831-7466-2807,3735.76,1112.14,1442.11,10752.18,15,2023-05-22
C10215,6103-1384-6892-7850,3962.86,2085.21,2666.94,365.08,15,2023-11-14
C10216,6257-8274-6637-8191,221.89,138.49,1254.01,11452.91,34,2023-06-09
C10217,4861-9569-1088-2028,511.02,114.83,2692.5,4297.05,20,2023-03-31
C10218,8982-0264-3388-4311,888.21,526.66,347.3,2275.17,28,2023-08-09
C10219,3483-3239-6242-8817,4440.71,2304.71,574.88,11775.81,1,2024-10-22
C10220,4053-1278-9108-3490,2423.7,187.69,729.94,8950.71,7,2024-01-01
C10221,5225-7842-2699-3052,1268.61,1166.41,2125.14,161.42,27,2024-07-21
C10222,2563-0952-3894-6566,882.52,24.89,520.48,577.68,33,2024-03-20
C10223,6211-9705-7124-9928,1781.96,1263.22,2646.85,18883.77,18,2024-11-19
C10224,3789-3433-1126-4561,4533.32,1107.42,2205.18,6572.91,20,2023-05-03
C10225,0089-7852-1360-7369,4502.53,376.24,1844.98,3076.77,9,2024-01-19
C10226,1948-5954-8289-9948,1479.44,269.94,2339.46,6840.04,22,2023-06-01
C10227,1882-6685-8807-8050,3700.77,3352.59,1498.31,4745.8,2,2024-11-18
C10228,9644-3439-9517-5899,2738.09,1329.84,2505.43,15546.33,12,2023-06-06
C10229,1112-0253-4666-1290,2916.42,1650.43,1991.36,825.88,1,2023-08-15
C10230,1235-0941-9648-3167,2256.55,987.99,1302.94,4721.96,8,2023-03-29
C10231,3913-1783-9854-2414,2125.51,800.26,1943.07,1526.8,18,2024-03-09
C10232,4631-6377-0284-6724,2192.51,1275.18,2296.93,982.86,21,2023-06-04
C10233,3938-6685-8843-0050,1859.12,535.39,345.36,486.97,31,2024-10-05
C10234,1806-8770-5181-5972,235.66,140.23,1219.35,511.78,17,2023-02-15
C10235,2398-7298-9397-0973,3122.06,440.21,2062.11,13390.94,35,2024-06-18
C10236,3020-6136-0198-6181,2933.35,134.56,2773.12,5538.35,16,2023-08-24
C10237,3506-4887-3761-1797,2235.93,1149.26,487.57,321.92,20,2023-07-10
C10238,5786-9423-1006-0094,988.07,879.02,2624.89,1034.63,8,2023-08-30
C10239,3106-3342-2359-5797,2274.4,1096.59,2917.65,2330.83,29,2023-07-19
C10240,0065-3009-2386-5245,2964.17,950.54,2542.01,13532.61,33,2023-12-03
C10241,5829-2396-3967-5838,922.46,449.54,1998.95,293.26,30,2024-09-20
C10242,5329-6843-9667-7842,3952.56,430.84,2814.92,1757.18,30,2023-08-21
C10243,8995-7297-2890-6077,166.41,36.29,1978.13,341.41,14,2024-09-26
C10244,3280-8538-1402-9225,4934.48,4554.3,1391.79,1996.26,7,2023-09-26
C10245,0285-4835-7057-2867,393.8,162.82,2583.89,14615.75,32,2023-04-18
C10246,3706-7825-9868-6393,1739.05,529.22,510.61,3699.58,24,2024-04-22
C10247,7675-8252-8157-2728,2830.15,1133.28,2573.08,2153.32,10,2024-06-04
C10248,7122-7126-1576-1925,2818.56,1943.01,638.21,12026.61,2,2024-09-04
C10249,4198-8654-5417-0487,610.26,327.8,2200.11,337.02,36,2023-09-29
C10250,8234-1447-9528-6403,863.17,604.37,861.77,9814.38,33,2024-03-24
C10251,8119-0094-9888-6356,289.87,114.83,924.05,10059.72,26,2024-03-07
C10252,0454-7950-0717-6211,3605.89,3349.04,2257.55,7008.97,2,2024-12-04
C10253,5110-1677-6353-1432,4895.59,2923.95,60.11,4815.52,31,2023-01-07
C10254,4535-5336-7663-7500,500.76,146.16,375.1,6518.75,31,2023-05-29
C10255,0784-6332-4140-9284,102.5,82.43,118.53,6064.69,33,2023-08-12
C10256,5942-4494-3386-0455,3453.44,3164.68,2852.99,890.78,30,2024-02-01
C10257,5323-4967-6932-4794,2722.93,1676.42,710.29,6433.78,8,2024-07-24
C10258,7108-6964-2214-5071,706.11,657.13,524.26,1247.63,13,2024-10-07
C10259,7426-5239-7417-0205,3045.12,778.34,490.51,85.89,8,2024-05-30
C10260,9178-7006-7802-5431,2720.27,1620.97,1591.39,556.63,11,2023-10-10
C10261,8625-4143-7684-7727,4832.73,4020.5,1903.45,447.75,10,2024-09-06
C10262,1191-6149-8129-1601,4512.79,3854.05,1447.75,640.95,28,2023-05-28
C10263,2556-2658-1106-7117,3888.26,3787.75,1844.85,1368.54,1,2023-01-09
C10264,3018-6307-8920-2808,2871.52,1468.46,2669.76,12151.68,11,2023-06-30
C10265,3743-5402-0641-4412,3280.74,1906.56,563.98,9296.04,12,2024-08-11
C10266,9933-8698-5484-3413,3432.25,1876.21,378.37,5042.11,13,2023-04-08
C10267,3180-2745-1448-4635,3433.1,861.71,1612.2,11953.74,32,2024-07-02
C10268,4328-5590-9603-0544,4299.23,1063.15,1862.54,5371.28,28,2024-03-11
C10269,9971-7829-2843-3910,4282.95,1696.09,1795.35,813.14,13,2023-10-08
C10270,2089-7598-9085-6260,3564.25,3333.68,1136.53,621.28,19,2023-11-11
C10271,1827-7732-5427-7603,1553.08,775.34,1375.79,9596.09,18,2024-05-22
C10272,0525-1987-8265-7590,3952.23,528.46,544.22,360.01,4,2024-10-09
C10273,1139-8810-2125-0036,2055.13,368.94,1484.79,4411.97,9,2024-04-12
C10274,1168-8496-8322-5710,1685.24,351.78,465.91,11478.91,36,2024-01-28
C10275,5895-0214-7852-0621,1958.88,1572.82,119.96,11044.55,8,2024-08-15
C10276,7395-8605-7136-5712,2296.36,1566.51,835.18,3528.65,4,2023-01-21
C10277,6676-5966-4047-1177,3872.61,2924.57,1026.92,6028.73,12,2024-05-03
C10278,8829-6941-4037-3534,2647.17,969,177.91,10189.59,25,2023-01-19
C10279,9670-6175-4293-9370,4100.89,1642.65,2727.27,2857.75,26,2023-01-28
C10280,2880-4509-4629-3004,4387.15,485.19,2546.51,2426.78,26,2023-09-09
C10281,9524-0694-0353-3266,3962.87,1493.12,2353.84,14204.72,19,2024-09-27
C10282,2708-3222-1101-4189,1006.75,297.04,245.76,1073.58,28,2024-08-13
C10283,5946-1877-5247-0907,2186.96,1834.13,463.07,13440.94,4,2024-03-31
C10284,3291-7331-9135-2689,4352.51,2914.78,660.35,8637.38,13,2024-08-16
C10285,5384-5332-9522-5988,4909.55,2667.16,1420.33,1249.72,2,2023-09-19
C10286,0349-7697-6271-7019,2530.67,705.91,1383,3248.47,11,2024-10-16
C10287,6738-9825-7131-1051,1204.47,702.59,1072.4,9040.64,15,2023-05-30
C10288,4886-4076-6462-9041,263.29,157.03,2718.7,6076.48,30,2024-12-11
C10289,3716-6395-9815-8921,3610.17,2243.08,1152.6,1198.2,31,2023-12-25
C10290,1923-5207-9369-4151,3759.72,2079.09,1354.76,3903.4,33,2023-09-19
C10291,0424-5358-5131-2810,1183.66,234,2858.03,11272.13,12,2024-04-01
C10292,0307-4243-1682-2216,2495.17,1558.16,2766.85,2135.41,27,2024-06-13
C10293,4451-2417-7284-5481,3840.14,3378.91,61.47,8265.95,1,2023-03-27
C10294,0383-2942-6849-1078,908.24,603.39,589.11,1026.48,34,2023-06-19
C10295,6180-1640-1931-6865,1245.57,320.49,2792.47,12818.78,31,2023-12-21
C10296,9102-0778-6127-3235,3684.88,2039.53,913.05,2496.27,4,2024-07-03
C10297,7529-5911-0779-0385,2588.32,384.71,397.15,5105.07,26,2024-11-23
C10298,2254-5062-5896-2079,4919.15,3435.43,1997.25,7915.43,26,2023-08-27
C10299,7706-5345-9577-6277,1523.31,1304.61,2621.21,4135.8,36,2023-07-17
C10300,8851-9294-1665-8188,1164.12,1104.01,1335.12,2217.87,14,2024-01-02
C10301,8728-0485-6200-2546,2640.31,523.63,306.55,4621.97,6,2024-05-06
C10302,5108-7005-4542-5060,1000.66,588.82,853.3,4330.03,14,2023-06-26
C10303,1972-9315-0702-3509,1010.24,25.3,1839.3,5227.77,24,2023-07-01
C10304,8189-3850-8421-8302,4246.53,663.32,1920.9,1407.06,9,2024-08-16
C10305,9293-4382-6128-4003,1883.98,271.62,2889.17,2594.86,29,2024-02-16
C10306,4288-0693-8789-4644,1466.92,879.16,1364.38,11210.86,11,2024-11-26
C10307,6360-9228-7241-4331,3452.45,2916.9,2375.62,263.5,26,2024-02-25
C10308,4454-3928-8076-9043,1285.14,68.58,1752.67,5046.78,15,2023-05-12
C10309,4559-0041-1630-7438,2344.42,1559.81,2585.15,2838.03,11,2023-07-10
C10310,7641-0414-2909-5569,966.49,494.95,1837.75,10290.92,1,2023-08-26
C10311,2373-2585-2282-0188,3031.85,2022.38,597.69,241.4,34,2024-04-08
C10312,6277-3714-1018-8605,1199.78,815.57,931.53,6991.54,6,2024-11-06
C10313,3485-5234-9463-9399,1874.12,390.26,533.61,7193.14,17,2024-04-23
C10314,1863-0522-9261-3362,3541.17,2383.95,2228.56,1957.38,23,2024-04-05
C10315,9939-2023-9198-6451,4918.45,1059.86,2538.19,5584.28,24,2023-04-06
C10316,6280-4745-4929-4130,993.97,766.37,786.09,6653.47,36,2024-04-01
