CUSTOMER_ID,CUSTOMER_NAME,COUNTRY,LOYALTY_TIER,TOTAL_PURCHASE
146,Amit Patel,UK,Bronze,6996
147,Sneha Singh,Germany,Gold,14264
148,Priya Brown,Australia,Platinum,2901
149,Priya Singh,USA,Platinum,2442
150,John Brown,Singapore,Bronze,12488
151,John Singh,Singapore,Gold,13595
152,Sneha Kapoor,USA,Platinum,6116
153,Rajat Wilson,India,Silver,9686
154,Olivia Kapoor,India,Platinum,10270
155,Sara Sharma,India,Platinum,5816
156,Vikram Sharma,USA,Gold,8364
157,Priya Brown,Australia,Platinum,10215
158,Sneha Lewis,Canada,Bronze,6767
159,Priya Brown,Australia,Platinum,8461
160,John Sharma,UK,Bronze,13082
161,Olivia Wilson,UK,Gold,13845
162,Rajat Taylor,Singapore,Platinum,12814
163,Vikram Joshi,UK,Platinum,9390
164,Vikram Sharma,Germany,Platinum,13158
165,Ananya Lewis,UK,Platinum,6158
166,Priya Taylor,India,Silver,13923
167,Rajat Brown,India,Gold,11691
168,Sneha Patel,USA,Platinum,12652
169,Priya Lewis,UK,Bronze,6182
170,Ananya Taylor,Germany,Gold,9165
171,Michael Kapoor,Singapore,Gold,12490
172,Olivia Patel,USA,Platinum,662
173,Michael Joshi,Singapore,Gold,5372
174,Olivia Brown,UK,Silver,5603
175,Amit Brown,UK,Platinum,4541
176,Michael Singh,Singapore,Gold,12813
177,Sara Lewis,India,Gold,11851
178,John Verma,Canada,Platinum,9116
179,Ananya Kapoor,Singapore,Platinum,3898
180,Ananya Kapoor,Singapore,Platinum,2948
181,John Patel,Germany,Gold,7689
182,Sneha Brown,Germany,Bronze,11334
183,Priya Wilson,USA,Bronze,899
184,Vikram Verma,India,Gold,6530
185,Olivia Lewis,Canada,Platinum,10139
186,John Brown,Australia,Platinum,12515
187,Ananya Singh,Singapore,Bronze,9533
188,Rajat Lewis,Germany,Gold,9113
189,Ananya Verma,Germany,Silver,11716
190,Michael Taylor,Germany,Platinum,7229
191,Priya Sharma,Singapore,Silver,6464
192,Priya Joshi,Singapore,Silver,13223
193,Michael Taylor,India,Bronze,1581
194,Priya Patel,Australia,Silver,2684
195,John Patel,India,Gold,11850
196,Priya Verma,Singapore,Gold,1771
197,Amit Brown,India,Silver,13910
198,Ananya Lewis,Germany,Silver,2654
199,Michael Patel,Singapore,Silver,5560
200,Olivia Kapoor,Singapore,Bronze,9795
201,Sneha Verma,UK,Silver,10895
202,Sara Verma,USA,Bronze,1506
203,Amit Brown,Canada,Silver,13586
204,Vikram Lewis,USA,Platinum,11012
205,Olivia Sharma,Germany,Silver,863
206,Rajat Lewis,Australia,Gold,6133
207,Amit Joshi,UK,Bronze,4062
208,Sara Sharma,USA,Gold,6461
209,Priya Sharma,USA,Silver,10164
210,Priya Taylor,Germany,Platinum,13445
211,Olivia Kapoor,Canada,Platinum,12000
212,Vikram Sharma,USA,Gold,14987
213,Sara Sharma,Australia,Silver,8778
214,Vikram Verma,Australia,Silver,4834
215,Vikram Sharma,India,Platinum,2708
216,Ananya Kapoor,UK,Platinum,4375
217,Vikram Sharma,Singapore,Platinum,1820
218,John Lewis,UK,Bronze,7205
219,Amit Joshi,USA,Platinum,14037
220,Sneha Sharma,UK,Platinum,2961
221,Olivia Kapoor,UK,Silver,1310
222,Olivia Kapoor,USA,Bronze,7638
223,Sara Kapoor,UK,Platinum,11379
224,Olivia Lewis,Germany,Bronze,6433
225,Ananya Lewis,UK,Silver,3583
226,John Sharma,Australia,Silver,3948
227,Vikram Verma,Canada,Bronze,10243
228,Rajat Patel,Germany,Bronze,7045
229,John Singh,Australia,Gold,9332
230,John Joshi,UK,Gold,3733
231,Vikram Singh,USA,Gold,8186
232,Olivia Sharma,India,Gold,5782
233,Priya Lewis,UK,Bronze,9306
234,Ananya Lewis,Australia,Gold,3921
235,Olivia Sharma,Australia,Bronze,12859
236,Sara Verma,USA,Platinum,13412
237,John Sharma,Singapore,Gold,5964
238,Michael Lewis,Germany,Bronze,4793
239,Sneha Wilson,UK,Gold,8762
240,Michael Patel,UK,Gold,11416
241,John Lewis,Australia,Platinum,1302
242,Sneha Singh,Singapore,Platinum,9788
243,Sneha Wilson,Canada,Bronze,14788
244,Amit Wilson,Germany,Platinum,5644
245,Olivia Sharma,Australia,Bronze,3586
246,Rajat Kapoor,USA,Bronze,13525
247,Rajat Kapoor,Germany,Silver,14977
248,Olivia Patel,Germany,Bronze,9473
249,Olivia Lewis,USA,Bronze,7467
250,John Verma,Germany,Bronze,3042
251,Amit Patel,USA,Gold,5606
252,Rajat Patel,Singapore,Bronze,13556
253,Sneha Verma,Australia,Gold,3283
254,Amit Lewis,Germany,Bronze,565
255,Amit Brown,Australia,Platinum,8264
256,Amit Singh,Canada,Silver,1252
257,Rajat Verma,Singapore,Platinum,11729
258,John Patel,Singapore,Platinum,3120
259,Sneha Patel,Australia,Gold,12898
260,Olivia Lewis,Australia,Bronze,8432
261,Sneha Verma,India,Gold,14006
262,Vikram Wilson,Australia,Gold,5877
263,Ananya Lewis,India,Platinum,14554
264,Vikram Kapoor,Australia,Bronze,13412
265,Michael Kapoor,Australia,Silver,7423
266,Olivia Verma,USA,Silver,14010
267,Michael Singh,Australia,Bronze,6834
268,Rajat Singh,UK,Bronze,12850
269,Rajat Lewis,India,Gold,6260
270,Vikram Taylor,Australia,Bronze,1291
271,Vikram Patel,USA,Platinum,10096
272,Amit Taylor,Australia,Platinum,5058
273,Sneha Kapoor,Germany,Platinum,10276
274,Vikram Wilson,Germany,Platinum,2769
275,Rajat Brown,Singapore,Platinum,8939
276,Priya Wilson,UK,Bronze,1895
277,Sara Joshi,USA,Silver,1575
278,Olivia Taylor,UK,Gold,9108
279,John Kapoor,Australia,Silver,9604
280,Priya Wilson,UK,Platinum,8305
281,Michael Brown,Australia,Gold,6064
282,Priya Verma,Germany,Silver,6897
283,Sara Patel,Australia,Silver,12693
284,Priya Singh,UK,Platinum,10201
285,Olivia Joshi,Australia,Gold,10240
286,Sara Singh,Canada,Gold,3924
287,Sneha Kapoor,Australia,Bronze,6994
288,Olivia Taylor,UK,Silver,14522
289,Sara Singh,USA,Gold,7966
290,Vikram Sharma,Australia,Silver,1161
291,Michael Patel,Canada,Bronze,4086
292,Olivia Lewis,Canada,Gold,3442
293,Olivia Singh,Germany,Gold,5533
294,Vikram Wilson,USA,Gold,6952
295,John Lewis,Canada,Silver,4966
296,Rajat Singh,Canada,Gold,13156
297,Sara Sharma,USA,Bronze,11494
298,Priya Wilson,Singapore,Bronze,10784
299,Vikram Kapoor,USA,Silver,3362
300,Amit Verma,UK,Silver,2572
301,Vikram Kapoor,USA,Bronze,2439
302,Ananya Verma,Canada,Platinum,1281
303,Priya Lewis,USA,Gold,3870
304,Sneha Taylor,India,Bronze,5286
305,Vikram Brown,Australia,Gold,4554
306,Vikram Verma,USA,Platinum,11997
307,Michael Brown,Germany,Gold,2060
308,Priya Kapoor,Canada,Bronze,9783
309,Amit Patel,Canada,Bronze,10302
310,Olivia Sharma,UK,Gold,7394
311,Vikram Singh,Germany,Gold,2105
312,Priya Joshi,Canada,Silver,12240
313,Sneha Kapoor,Canada,Platinum,8086
314,Rajat Wilson,USA,Bronze,2898
315,Michael Patel,Germany,Gold,6214
316,Olivia Lewis,UK,Gold,7133
317,Ananya Joshi,USA,Silver,2373
318,Olivia Joshi,Singapore,Platinum,14135
319,Vikram Taylor,USA,Gold,14799
320,Sara Patel,Germany,Platinum,11664
321,Priya Lewis,Australia,Silver,14899
322,Rajat Sharma,Australia,Silver,2892
323,Priya Singh,USA,Platinum,11521
324,Priya Wilson,Australia,Silver,2985
325,Vikram Taylor,UK,Platinum,9379
326,Rajat Taylor,India,Bronze,11286
327,Vikram Taylor,India,Platinum,6244
328,Olivia Wilson,Australia,Bronze,7454
329,Priya Verma,Australia,Bronze,976
330,Michael Taylor,India,Bronze,3394
331,Olivia Taylor,UK,Silver,14907
332,Ananya Patel,India,Silver,14322
333,Amit Verma,Canada,Platinum,6960
334,John Joshi,Singapore,Bronze,11999
335,Sneha Sharma,Canada,Silver,7492
336,Sneha Patel,India,Silver,950
337,Sneha Kapoor,USA,Gold,1828
338,Olivia Wilson,UK,Platinum,11554
339,Sneha Lewis,UK,Gold,7210
340,Ananya Sharma,India,Silver,10259
341,Vikram Taylor,Canada,Bronze,4630
342,Sara Kapoor,Canada,Silver,13287
343,Ananya Verma,Singapore,Silver,11411
344,Vikram Taylor,India,Platinum,6599
345,Ananya Brown,USA,Bronze,14791
346,Vikram Lewis,UK,Silver,8350
347,Sneha Brown,Australia,Gold,11515
348,Olivia Sharma,Australia,Gold,1140
349,John Taylor,Singapore,Bronze,8521
350,Ananya Singh,India,Platinum,4471
351,Rajat Singh,UK,Platinum,4433
352,Sneha Singh,USA,Platinum,11938
353,Michael Joshi,India,Bronze,14770
354,Sneha Sharma,Australia,Gold,2741
355,Sara Verma,Canada,Platinum,6808
356,Ananya Lewis,UK,Platinum,541
357,Sneha Sharma,Germany,Gold,3495
358,John Patel,Germany,Platinum,1280
359,Sneha Sharma,India,Gold,1977
360,Rajat Wilson,Canada,Platinum,502
361,John Taylor,Germany,Silver,11793
362,Rajat Lewis,Germany,Bronze,13208
363,Olivia Joshi,Canada,Bronze,3529
364,Michael Lewis,Germany,Silver,10782
365,Rajat Singh,Singapore,Bronze,3572
366,Sara Singh,Singapore,Platinum,12610
367,Priya Joshi,Canada,Bronze,3958
368,Amit Kapoor,USA,Silver,11302
369,Michael Joshi,UK,Silver,6265
370,Michael Verma,Germany,Gold,8892
371,Olivia Joshi,Australia,Platinum,11701
372,Sara Singh,UK,Gold,5259
373,Vikram Brown,India,Bronze,1935
374,Priya Joshi,Germany,Bronze,12790
375,John Joshi,India,Platinum,8232
376,Ananya Patel,Germany,Platinum,2534
377,Vikram Lewis,Germany,Gold,11351
378,Priya Brown,Germany,Platinum,6291
379,Rajat Sharma,Singapore,Gold,6259
380,Rajat Verma,Germany,Platinum,8359
381,Rajat Lewis,UK,Platinum,14090
382,Amit Wilson,Australia,Platinum,2464
383,Sneha Joshi,Canada,Bronze,14848
384,Sneha Singh,USA,Platinum,4449
385,Ananya Kapoor,Germany,Gold,9327
386,Michael Joshi,Canada,Silver,2382
387,Michael Patel,Singapore,Gold,12227
388,Priya Sharma,Australia,Silver,7852
389,Ananya Patel,UK,Gold,10664
390,Michael Verma,UK,Bronze,14567
391,Michael Sharma,UK,Silver,13198
392,John Kapoor,UK,Silver,1542
393,Vikram Kapoor,Singapore,Silver,9469
394,Priya Lewis,Germany,Gold,10406
395,Sneha Kapoor,Canada,Gold,2488
396,Olivia Joshi,India,Platinum,5252
397,Ananya Lewis,Germany,Silver,5846
398,Olivia Brown,USA,Gold,6228
399,Sara Taylor,Singapore,Silver,14732
400,Ananya Patel,Singapore,Bronze,9365
401,Michael Lewis,Singapore,Silver,9154
402,Ananya Taylor,Australia,Gold,3391
403,Sneha Singh,UK,Bronze,7082
404,John Wilson,Australia,Gold,6377
405,Sneha Singh,Singapore,Gold,7224
406,Amit Kapoor,Australia,Gold,10879
407,Vikram Sharma,UK,Platinum,12134
408,Ananya Sharma,USA,Silver,9291
409,Vikram Lewis,Germany,Silver,4596
410,Sara Taylor,Canada,Gold,5308
411,Olivia Wilson,Singapore,Bronze,6903
412,Vikram Patel,India,Platinum,5806
413,Sneha Taylor,USA,Bronze,14806
414,Priya Patel,Singapore,Gold,10532
415,Vikram Taylor,Australia,Bronze,8809
416,Amit Brown,Germany,Platinum,7316
417,Sneha Wilson,India,Silver,11811
418,Rajat Verma,Australia,Gold,2269
419,Michael Verma,Singapore,Silver,3669
420,Olivia Joshi,Australia,Bronze,13347
421,Sara Wilson,USA,Gold,2892
422,Ananya Lewis,Germany,Gold,2353
423,John Taylor,Singapore,Silver,14600
424,Amit Brown,India,Platinum,11524
425,Rajat Brown,India,Bronze,5241
426,Priya Joshi,Singapore,Bronze,649
427,Rajat Sharma,Canada,Bronze,13570
428,Sara Singh,India,Silver,12298
429,Priya Verma,Australia,Platinum,12347
430,Priya Patel,UK,Silver,2407
431,Olivia Joshi,Germany,Platinum,3105
432,Amit Brown,UK,Silver,11733
433,Michael Sharma,Germany,Bronze,1748
434,Priya Sharma,India,Bronze,7363
435,Olivia Lewis,India,Gold,12481
436,Olivia Kapoor,UK,Gold,10923
437,Priya Brown,Australia,Gold,6842
438,Michael Lewis,Australia,Gold,12726
439,Priya Sharma,Australia,Bronze,6804
440,Michael Taylor,Germany,Platinum,13030
441,Amit Taylor,USA,Silver,9510
442,Amit Brown,Australia,Gold,7667
443,Vikram Sharma,USA,Gold,8360
444,Sara Kapoor,India,Gold,13338
445,Amit Patel,India,Platinum,5121
446,John Wilson,Germany,Silver,7772
447,John Verma,India,Gold,13609
448,Michael Patel,UK,Silver,7444
449,Sara Taylor,UK,Silver,14961
450,Rajat Taylor,UK,Silver,12822
451,Olivia Sharma,USA,Silver,2504
452,Amit Kapoor,UK,Platinum,4759
453,Priya Sharma,Australia,Bronze,2069
454,Ananya Wilson,Canada,Gold,8743
455,Ananya Taylor,India,Bronze,8926
456,Sneha Brown,India,Platinum,10402
457,Sneha Lewis,Germany,Platinum,941
458,Olivia Taylor,Singapore,Bronze,14486
459,Michael Patel,Canada,Bronze,13082
460,Rajat Wilson,UK,Platinum,12024
461,Ananya Singh,Singapore,Gold,2990
462,Ananya Joshi,Singapore,Silver,5306
463,Michael Patel,UK,Gold,4510
464,Olivia Brown,Australia,Silver,3834
465,Sneha Brown,India,Gold,4338
466,Rajat Kapoor,Germany,Silver,14467
467,Sara Sharma,Germany,Silver,12355
468,Olivia Taylor,Germany,Platinum,14146
469,Vikram Verma,Canada,Bronze,8153
470,Michael Verma,Germany,Gold,11645
471,Rajat Wilson,UK,Gold,12419
472,Rajat Joshi,Canada,Silver,10132
473,Rajat Patel,Singapore,Bronze,14409
474,Olivia Wilson,Singapore,Bronze,13846
475,Sara Verma,Canada,Gold,8828
476,Vikram Kapoor,Australia,Silver,5099
477,Michael Taylor,UK,Gold,683
478,Rajat Wilson,Canada,Silver,14259
479,Vikram Joshi,UK,Bronze,2679
480,Olivia Lewis,UK,Silver,3105
481,Michael Verma,Germany,Silver,7440
482,Amit Taylor,Australia,Gold,7440
483,Michael Kapoor,Singapore,Platinum,8473
484,Amit Lewis,Germany,Gold,12320
485,Rajat Singh,Singapore,Gold,7490
486,Priya Kapoor,Australia,Gold,13474
487,Michael Verma,Germany,Silver,6276
488,Amit Brown,India,Bronze,12743
489,Priya Verma,Germany,Silver,12348
490,John Taylor,USA,Platinum,1764
491,Rajat Patel,UK,Silver,9396
492,Sneha Brown,UK,Gold,1503
493,John Kapoor,Canada,Platinum,4075
494,Ananya Singh,UK,Gold,9562
495,Priya Taylor,UK,Gold,10001
496,Amit Wilson,Germany,Silver,7398
497,Olivia Verma,USA,Platinum,4822
498,Priya Wilson,Singapore,Gold,13937
499,Michael Sharma,USA,Platinum,2608
500,Amit Verma,Germany,Silver,13393
501,Ananya Wilson,Singapore,Gold,1742
502,Sara Patel,India,Bronze,2584
503,Sara Sharma,Australia,Bronze,3431
504,Rajat Verma,Germany,Platinum,8213
505,Michael Lewis,Australia,Bronze,7128
506,Priya Verma,Australia,Bronze,11765
507,Michael Kapoor,USA,Silver,13318
508,Priya Kapoor,Australia,Gold,3904
509,Amit Lewis,India,Gold,8891
510,Priya Lewis,Australia,Bronze,3542
511,Amit Lewis,Singapore,Bronze,2745
512,Olivia Patel,Germany,Silver,8364
513,Sara Taylor,Singapore,Platinum,2036
514,Michael Lewis,India,Platinum,12303
515,Sara Kapoor,India,Silver,8048
516,Olivia Verma,USA,Silver,3143
517,Vikram Verma,UK,Bronze,11583
518,Vikram Lewis,Germany,Silver,8842
519,Rajat Joshi,India,Platinum,14026
520,Sara Wilson,USA,Bronze,5868
521,John Singh,Australia,Bronze,3817
522,Priya Wilson,Singapore,Platinum,4152
523,Rajat Singh,UK,Platinum,8131
524,Rajat Kapoor,Australia,Gold,1353
525,John Sharma,Germany,Platinum,4614
526,Rajat Verma,India,Silver,1681
527,Sneha Wilson,UK,Silver,8242
528,Rajat Brown,Germany,Platinum,7156
529,Rajat Brown,Germany,Silver,9275
530,Amit Sharma,Germany,Silver,14678
531,Sara Lewis,India,Bronze,9217
532,John Lewis,Singapore,Bronze,7860
533,Sara Taylor,Canada,Platinum,6754
534,Sara Wilson,USA,Gold,12269
535,Ananya Lewis,Australia,Platinum,13184
536,Vikram Taylor,Canada,Silver,14604
537,Ananya Wilson,Australia,Gold,13302
538,Sneha Patel,Canada,Platinum,11779
539,Ananya Verma,India,Silver,7710
540,Sara Taylor,India,Silver,12598
541,John Wilson,Singapore,Silver,10798
542,Priya Singh,USA,Gold,11546
543,Ananya Singh,India,Gold,7469
544,Priya Joshi,India,Gold,9818
545,Ananya Brown,Singapore,Bronze,9430
546,Rajat Taylor,Singapore,Platinum,796
547,Michael Sharma,India,Silver,6152
548,Amit Verma,Singapore,Bronze,3832
549,Priya Wilson,Germany,Gold,9187
550,Sara Patel,Australia,Gold,5979
551,Sara Wilson,Germany,Gold,12131
552,Olivia Patel,Canada,Silver,3764
553,Sara Singh,UK,Gold,9450
554,Amit Sharma,USA,Bronze,9072
555,Vikram Singh,Singapore,Silver,1185
556,Priya Kapoor,Australia,Silver,12013
557,Amit Wilson,UK,Bronze,11624
558,Rajat Verma,India,Gold,6746
559,John Verma,Canada,Platinum,11810
560,Vikram Patel,Canada,Gold,12952
561,Priya Lewis,Australia,Gold,14860
562,Sara Patel,UK,Gold,3593
563,Vikram Sharma,Canada,Platinum,1075
564,Sneha Singh,Canada,Gold,3005
565,Vikram Joshi,USA,Gold,6896
566,Olivia Singh,Australia,Platinum,13036
567,John Brown,Singapore,Platinum,14813
568,Ananya Kapoor,Singapore,Bronze,14853
569,Ananya Joshi,Germany,Silver,14258
570,John Patel,Canada,Silver,14673
571,Vikram Brown,Australia,Platinum,11815
572,Sara Sharma,Singapore,Silver,14414
573,Ananya Patel,Canada,Bronze,11665
574,Rajat Wilson,USA,Gold,14932
575,John Wilson,UK,Silver,12236
576,Vikram Verma,Australia,Platinum,3987
577,Priya Verma,Singapore,Bronze,8501
578,Michael Verma,USA,Gold,9820
579,John Sharma,Germany,Bronze,11447
580,Ananya Kapoor,Australia,Platinum,7963
581,Rajat Taylor,USA,Bronze,8563
582,Olivia Singh,Australia,Gold,8530
583,Rajat Brown,Canada,Silver,14350
584,Sneha Kapoor,USA,Platinum,4375
585,Vikram Patel,Canada,Platinum,13268
586,Olivia Taylor,Canada,Gold,2014
587,Amit Kapoor,Australia,Gold,10714
588,Ananya Verma,UK,Silver,11118
589,Olivia Lewis,USA,Bronze,14130
590,Michael Wilson,Canada,Silver,12882
591,Sneha Joshi,Germany,Bronze,13440
592,Vikram Lewis,India,Gold,4216
593,Rajat Joshi,India,Platinum,1482
594,Ananya Taylor,Canada,Silver,13088
595,Sneha Wilson,Singapore,Silver,8108
596,Sneha Brown,UK,Bronze,8828
597,Sneha Taylor,Germany,Platinum,6107
598,John Joshi,India,Gold,12778
599,Ananya Lewis,Canada,Gold,12205
600,Vikram Verma,Canada,Gold,6688
601,Sneha Brown,Germany,Gold,7496
602,Sneha Singh,UK,Gold,14234
603,Olivia Sharma,Singapore,Gold,1749
604,Olivia Kapoor,USA,Bronze,3678
605,Olivia Brown,India,Bronze,13738
606,John Singh,Singapore,Silver,11058
607,Sneha Verma,India,Gold,14715
608,Ananya Taylor,UK,Gold,1064
609,Priya Taylor,UK,Platinum,14470
610,John Kapoor,USA,Platinum,8937
611,Vikram Brown,Australia,Silver,5124
612,Vikram Kapoor,Singapore,Gold,11390
613,Sneha Wilson,Singapore,Bronze,7554
614,Sara Kapoor,Canada,Platinum,6442
615,John Joshi,Singapore,Platinum,3223
616,Olivia Sharma,USA,Silver,11565
617,John Verma,India,Gold,7687
618,Rajat Brown,India,Bronze,8488
619,Ananya Brown,Canada,Silver,1081
620,Vikram Lewis,UK,Bronze,11429
621,Rajat Joshi,Canada,Gold,1768
622,Vikram Sharma,Canada,Silver,11707
623,Sara Wilson,UK,Bronze,3674
624,Rajat Brown,Australia,Silver,12841
625,Priya Patel,Singapore,Gold,11687
626,Vikram Kapoor,Singapore,Gold,5392
627,Olivia Singh,India,Bronze,11471
628,Sara Lewis,Germany,Gold,9420
629,Sara Brown,India,Platinum,2909
630,Amit Kapoor,Germany,Silver,996
631,Rajat Patel,India,Platinum,1597
632,Vikram Lewis,Australia,Gold,3945
633,Vikram Taylor,USA,Gold,12052
634,Sara Joshi,Germany,Silver,8301
635,Ananya Patel,Germany,Platinum,14864
636,Amit Joshi,USA,Gold,10115
637,Rajat Kapoor,Australia,Platinum,3796
638,Priya Joshi,Germany,Platinum,853
639,Vikram Brown,India,Bronze,6214
640,Michael Brown,Australia,Platinum,2438
641,Ananya Lewis,UK,Silver,14920
642,Amit Taylor,Germany,Platinum,9665
643,Amit Taylor,Australia,Silver,13074
644,Sara Joshi,Germany,Gold,12525
645,Michael Joshi,Singapore,Gold,13535
646,Sneha Lewis,USA,Platinum,9835
647,Olivia Taylor,UK,Bronze,1376
648,Rajat Verma,Germany,Gold,1356
649,Rajat Wilson,India,Silver,12464
650,Priya Singh,Australia,Platinum,11874
651,Ananya Patel,UK,Silver,8111
652,Sara Taylor,USA,Bronze,14793
653,Vikram Singh,Singapore,Platinum,2673
654,Michael Sharma,India,Platinum,2241
655,Priya Kapoor,Singapore,Silver,3583
656,John Lewis,Germany,Bronze,11078
657,Rajat Joshi,Singapore,Silver,9574
